2018-04-27 14:26:59	a4ca7bf60dd34e7b6cd6baad11053035:rZ1DorStVdIkfkVaRlpAjkLhM8HhiZJg	Q1:百年觀光新店溪河道再造	,住好住滿	,;	101.9.213.13
2018-04-27 14:28:44	c5425dfe8f564cb089ffec0c63040c6a:w8B8ba5mhFVVl8NBE1mA0ajEYvHveGq2	Q1:百年觀光新店溪河道再造	,住好住滿	,;	101.9.213.13
2018-04-27 14:29:55	19020a7a8d3ee7d1d6371c6f7a82680d:5mTzb0krU7FnofBBfB7XOOxjgJbdGyAC	Q1:百年觀光新店溪河道再造	,住好住滿	,;	101.9.213.13
2018-04-27 14:31:17	62426fe5860e74a18e28f9c340e28fad:EHiqGZB9dXo9SzjLWQOE7JK77o61YCdX	Q1:百年觀光新店溪河道再造	,住好住滿	,;	101.9.213.13
2018-04-27 14:33:28	f907825b3aedb3f5e939ada21f45d571:ST0C4lkYjWBTXZcFwDmtAXe2HWP8aVjx	Q1:百年觀光新店溪河道再造	,住好住滿	,;	101.9.213.13
2018-04-27 14:48:49	3771254bcf568dc71fef8aa80f3acdb9:u0C55INzxz2nDX560A3qVSEFKO2i7MzA	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.1.61
2018-04-27 14:52:02	3a920f2693bb7b1c1c0667ddd02392cf:BnS5MmJRmQkxbISHn3bUjebKnN5KFokj	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	43.248.17.135
2018-04-27 14:53:07	b206d661a55ab6c9ed61a704ea32b310:b2F06AcVrCb89sNR6pYZ2eFNczb2s8Zx	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	43.248.17.135
2018-04-27 14:54:42	092f5f42043c948104267446c818f37e:OgiWULLYZ3V1AHV1tiTiguu2koTiCLqy	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	43.248.17.135
2018-04-27 14:55:47	3f16a7affe7c0dbed457cc5873e064e4:f7RDm3SuduYW8L6TUNnbyuPWuKckCpTQ	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	43.248.17.135
2018-04-27 15:45:45	5117b07110559acc5c50a50a01e45f0d:Triyfrz7EKc1KLyvyNKB8lhf2i9hUTfA	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	172.29.8.60
2018-04-27 15:47:23	294b928b0fdb9d0f6f0c2c3f392b02c1:RfZxcghhl9rtgB95fgRKKGRSBohdn3rb	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.227
