2018-04-23 10:27:24	baa1dc5313b128e048f7a60e9082f83d:pEEDHtPNL0FADPx5X3UtOOjLkyGVJN6v	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-23 10:27:41	98aa312f76804ece39b403c83b85c43d:PaP8EpXb0vDiSmXHjiGkpDqPrBbhyNDK	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-23 10:27:44	e59bb1eb649d3982c006e890b773e632:ZMHsluLO5XfpxidT10rYh6ngn8rRmR1F	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	36.228.141.208
2018-04-23 10:28:47	a575e978d2a5e1e51cf005620afde0ff:wnpPYGIeKqp28zL1Wl6tMpnyhqH2obmB	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	172.29.164.230
2018-04-23 10:29:28	b01d4c84d8b86e811c1c17d22557b8e5:iiaV7di9pL54WMAKxgoWrFtgnnDMgRUh	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	36.228.141.208
2018-04-23 10:29:31	f7ff2bf499d9afcbd5692bcf8a341d21:cdsfyTTblm4vZSLlJKRQZHNIZhSFagUv	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	203.71.67.84
2018-04-23 10:29:32	a0a3e4632146791ceacc46814cda0099:8SV4CsQH71WRQ16CviI0JQQceG2mpmn5	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.217.138.101
2018-04-23 10:29:41	19347448193644d138a05be50a7a55fe:Ew5BHKMTuNrmMioVsMzq3Pyli1NeFaqq	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	101.138.169.43
2018-04-23 10:29:43	813752d34df956f3c4b74df715b745e1:IugPgQvSEY1xPkpEvzrNiFDhOD0eqRy4	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-23 10:30:07	7ca89f79ef0298f0a90764d79f0dfe91:3JWTpeDAyqDBPE7kNdBKFjE0PkypaCvL	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.15.134.46
2018-04-23 10:30:13	07b6bd6b57bfd9f4d20918f171de150f:OLnX9CDbrHkHcvnPlZ5Tyq45OdmQMwUV	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	39.10.192.219
2018-04-23 10:30:15	ebb9df7fc9fe1ff243685f85207be158:bS1qyCim1Wc4y7VYNUFM3RP3UYj19mkA	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.67.159
2018-04-23 10:30:18	fcf1ee155d7ba042ebf58157ded09601:mWkOyBMSSaTPoGtwfPI4eYBrbFWtJTay	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	114.136.58.130
2018-04-23 10:31:07	cb4211419d2bc6d00995357f06ea0a3e:BitV18Q4uka3A0d6b0Yt6IdGfHtnOzxq	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
