2018-04-19 08:57:02	22d8196ac553c93c2517b5802c0350bc:SjYsqRuBVZECqBv2leUqZ5XYPQ8EMXoR	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-19 09:00:25	60727ad0b4c5c8f925e3896ada4627b5:Sux3Jgb1CzZP66b7vuFVX9SHzsVEDvRO	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.169
2018-04-19 09:00:56	bb920e4a0d5f1123b5312d76f6675dee:UOh05FZoYIzSbHZhv84BfyRgvvCvFjRl	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.198
2018-04-19 09:01:17	bd05f16172ca7f64180af5a4fe856bbb:GBMO876uxrnhQKeeG45trRtef7jo1cNR	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-19 09:01:35	acf648b23158196e854dd6a36e2bf106:3WmtoVNi5ondPEaf86s4jaQxquAlN4Ge	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	103.31.196.193
2018-04-19 09:04:43	a78f9ef4a4df38b0e3da14b5ad938170:z3VYfLipzXt7KVDVLoF3AYNqmbZLvWF1	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.169
2018-04-19 09:05:38	41c2d44737cf27ba43422a6c8258b414:a8VV2Jp6CHndoYQBxp6eZtPrdtknsF4X	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.198
2018-04-19 09:08:08	e85ff32bb01a0f3dd63a8eeaf3788a4a:2IJGRZda3uwFWnWIMUOPkgoZyOJO2Eiy	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.198
2018-04-19 09:08:49	b71a281960de25387477fdeb222e6d6b:uMul4Quul5ThGUCP6I9AqHEYzZI1CCUP	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.169
2018-04-19 09:10:05	77ddf1d089018b6f548366fbcddbad80:sfwKAgXOH2w51VoncgEoMU6ySneJafej	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-19 09:13:24	7054376c4c563793d44c2ece32fc5826:MVVAnPQAEgkSaq6aOffmsdphgbc294Tr	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.169
