2018-04-26 09:52:12	6ef66d186d51e077ed73ae10ab2dab85:K3YgUusvbIOQHxDHAINw5NVEJgiLGkeF	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 09:53:30	9d7313dbc3e1992675a05aabe222233c:hXsDFyUA9Gxgs7BF7FS4DEHmioKB3hcO	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 09:54:04	29ca4df0940f86e35a44902b9551b30e:dkqbCA7iSPVarvddFJjTbNMJBfZIWGWb	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	122.146.127.46
2018-04-26 09:55:00	1ec349fe1b722c86d9e59904c2efa884:cvhYH6lZEetCrpzF86h0VuXsfattE6ev	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-26 09:55:23	c1b30e80f4bf59c5884a23f11c949ce1:w2ovweMo4NRZgnnlFZqzx6akkpfvfldF	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 09:56:30	f8750533e615ca941d67805d51b0376d:Ohl9GTJBVkXIM4fjjT3jl8FHnMzeFqrP	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 09:57:40	5dc80af5698bbcda7e2c0fcdf8803b5e:KKAo1Qu0C9rlWl7tsy49xc0GgOvXPXtC	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 09:58:38	6a4d370d0ff6e1d9267543f5a6fdfa3a:csGUTsWLWuBEtuR2RPu8BVXeJwuHwS8H	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 09:59:35	9d459f6c6ff769a2119f5917f7d0f031:ebHavH0xgQGey6LHVX3kKd1sjzd7SkYh	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 10:01:26	094ee8fff66ef21f5160e20d1895ac22:llbykBYl2uHJ3CNCqoOowIx7oLOTXHrN	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
