2018-04-17 10:25:51	25c21731b02e4c9780e9bed2a1e3ffd4:hL70GnOeQKa6oLh7ytTvvRaxkS7dhWXs	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-17 10:26:15	615a20409ca8757b6bc9c1d5dc237094:G13Pwr9BgqRdletWwkdZApnCnROOKONV	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	223.140.46.53
2018-04-17 10:26:34	2642d9e842aa0276c7224f1fe6762d0b:ndKC0EPR9RpkwhTcmxPRUf7AisTEMQ56	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.135
2018-04-17 10:29:00	754faca7f6a2ce9d760c6a788a0254a1:h60nJ0uBBIs74FOKKzR4veiXy52bumqp	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	10.254.248.143
2018-04-17 10:30:53	4bdf91cfc25a49025bf79c4d16616161:BpZefxYdLxguUdZWFh4k1sYJX8gqrozN	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	172.29.144.217
2018-04-17 10:31:16	780ed302e18db33d2aa2473f0e5e7c3a:WvA4HHbXYH88CcZ78yVhFdgdkIhzEDBn	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	1.160.35.200
2018-04-17 10:31:40	42f48ed347799a391a127832a1ffa9ee:cN8TWIxNcxcDx6ypBYVVwe7cqqiG1kOI	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	172.29.144.207
2018-04-17 10:32:08	bb4d45f6164e8cd05aa63d364952c2ca:BGGhijZOL14CavcLJAKZ7vD525kdl6uM	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.135
2018-04-17 10:36:02	3413b365db0609abe826ab1c3877c64d:t2QTZww9tVRulgfhqxeHAJ6aAj6Ar0Jg	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	140.119.203.168
2018-04-17 10:43:35	3f66789039b7ce62ae2a8008ca36b1b1:XAMXBdRhqEE0EMldj8Ukiz4EzjyOFua7	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.143
2018-04-17 10:44:25	e7a229b12f962a804456ec055b7ad71b:WzU7wvJIC0iTVPravEXzmMkuc59b6Qqq	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	61.222.195.137
2018-04-17 10:46:04	b8d9e8d3d77e9c94a6b4a30db65de572:dItxp9dA5THECRJx1C6Bfb5qcgIHCG3H	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	172.29.144.207
2018-04-17 10:48:11	8a57b632f4ea755c13db0a556a41b1a0:s0oxEDEMMF4r4aq8ZSAFWXmXKtbEvQj0	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.47.107
2018-04-17 10:50:19	4b69c528dfd0066e5691609d1bd3047f:4SQgbhirPIgmt8VmZh8lzJAbzSmQIfjG	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	118.233.155.135
2018-04-17 10:51:12	45580dea8696d6590423fbe2654ac967:71Ejhw6pdH2TCmKlvErqL9A3Uwt6sbq0	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.135
2018-04-17 10:54:33	840efe4cb2aa13b960e3b0229520a99a:RQWDRV6y07D3SMW8ig6ULKITfR28i97N	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-17 10:55:08	fc49b72c9a335e7f25dea4014dc1347a:kqhRgMA7HQUhFLcHOfkrsK6sUXkMX1ey	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	172.29.144.217
2018-04-17 10:55:14	2f86c12d3b6acf7eaf361fa997908280:XZUuQb7yE6vQpa2qYaeyIyYA5aO1ePLm	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.141.229.43
2018-04-17 10:55:18	eb99386caa161d4e132fe1cd345d7719:DCjR4nCVtC0j4ZV0elhIa0v084YckY6Q	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	114.136.250.12
2018-04-17 10:56:55	6fd7e6ee9b3c813c3eefc1a1d975f17a:PYUQT8cd3tW3W5FIwGxaPP0APACKHv7b	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	10.254.248.143
2018-04-17 10:57:07	6db27bb8f83ff3d6e04cc85888ee7c84:8Kq12XEdu9JitMszguI45lfsIWacfURA	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.46.27
2018-04-17 10:58:00	55d81161aa34c883432b4d69b3e7fa3f:a0kIfXVHL7iUbpxNDIq44uQBqstDkdlV	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	114.136.250.12
2018-04-17 10:59:37	8292d14f6a5f759a56d5bfaa21fb8e85:ooKSdQZELWloElUZweE9STph67PRUzgU	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	114.136.131.121
2018-04-17 11:01:32	76a651661a4c6a18681cbf452f4cad26:B2QwMFSWQhgqJ6EmsUCeLqojXMjP15bJ	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	10.254.248.143
