2018-04-25 09:57:09	578c381ba8c7d51011259d72afadfe7b:mbg5DGjQyibcfu2iY38DN9WaV9kgqZJ0	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	220.141.159.53
2018-04-25 09:59:36	928befd43ef2ea1393471ad28a5d612e:K3GNbqFH67b0FdOHd8JC5tTgV2iXIJ6N	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 10:00:40	d98081f354a04bbdb6a1395c4932f484:DZPgaqB0lFT8f7dqI9Urj6aa7rhvkj1j	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 10:01:10	4e9991f0d719756fe1827ad5c1482988:b5jgwYmuwGyEEaCNhtv9wwBBWRGcLNwU	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 10:01:12	953253767460758bf41a4a23b56ef092:2rwVBezaJCzZZi4JhIpdWOp6YnhJ28ha	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.34.114
2018-04-25 10:01:53	eef90d4fd0a2ceaa1a34fa093d9fa0e6:T4PHHEIQrvABDdauUxrliZl50NeAVpKC	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	115.82.227.85
2018-04-25 10:02:28	33ef8536964e349a61612e1ba17eec9a:p2DWKxHGmsAsBQZQiiMoqdJKCw9DkBHF	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-25 10:03:29	b214a1074f6738e6f5da3a53294bdd42:AVryKkjO6VuSeVQfjnyFdOQ2scYnl0Kx	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	106.105.178.41
2018-04-25 10:04:00	99ce1b6b5e5f48ecbd03e5e02600538b:tTLXDDtOJ64UNuW2kqsh3kQCbQade53f	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	172.28.34.114
2018-04-25 10:04:28	d3077e36a58f09c7187a4e2769e808aa:GGRwTg4Kskd3I25VidMRVkI6KSly5jq0	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-25 10:05:59	39fc8b147d7f0188600928fb3bbb1c7f:lOvhdNPFllr4wvKUnMT81iKqwE6zi1fa	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 10:06:33	a5bf9b651e7ff14ed94b76aaebb43e03:FuYPekL6z8g9y83lsuTwlxRqVl6QSzuj	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 10:06:35	b5f4a52cf227641995542b06636a0f10:xRmM1WVglMnx8340B3QU5JfxE5RQMZaO	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	111.241.1.182
2018-04-25 10:07:27	1c339f67bbe4e1af51e8c362cc25ba0a:Jn3zFGqmglMJVZnXdQRW6SXBCBFvnSsm	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 10:08:01	21b364afaaf0cd373b69cc6e42ea583d:i62QwVfTQezy2Wilq0vhPW9myyCMbPc4	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 10:08:27	45b2f12bd7485a9c290b26da653c69b2:heUMHFz2NGrEpJWlPfrsPqA4yww8stT1	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 10:08:30	e254278a7883af2a1b3c4f7263b74a16:TDUJNa1vyJsM80H95xLadX6ngiIMWaK9	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	111.71.17.101
2018-04-25 10:08:57	10765d1a495bcc0e821bb5ef08042499:0nRYDJGd0FvgmoTMGA384DWGY2eKMSPq	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 10:09:33	1bef15a747bc231825e862109e3722d3:VOdxGt6SZ3R1Xy56Ma4mHffVq7hBwHL1	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 10:11:21	11f433e1eb616f3bfe4eae95303536c4:vDPGUOUhFJPLGyzp1sAUf93yVZ9dDkaA	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	111.71.17.101
2018-04-25 10:15:12	202eb7b88c07bc3af5ed88e26cef0818:cLWMepsQS05a62u8kSD88KZcE7dPntZG	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.34.196
2018-04-25 10:15:13	581b3a67d72af695aafc8b7e3a545233:Giy0RwH2BCaSwXaj96GRhbNbspukuXkJ	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-25 10:16:12	5a6977452f27e5fd81996d8744504c37:JO0zX5lgSCF38UC05jiDm9mtewCnmQzR	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	111.71.17.101
2018-04-25 10:17:26	c147c9bf559d04bb28ab20be1ea145c3:Rk4Qb7K8yBc6bC6deTvVaeSUlI27qaNh	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	1.200.215.32
2018-04-25 10:20:17	c196276ca2565df8c4cb8907339be341:J126YAGuFehuhKPSrkUUadoRPtxG2Xjd	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-25 10:22:20	03edae65f69c04bee5fe21cf376d3673:W2TqhHU1ayD3YSbS2NFmPRfH1tcNUSwj	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-25 10:23:02	e56776374f5bfe502146c93843d00ceb:WhbAcZyMgSTbiwPJnKsQ5ugqSROOypkT	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	111.71.17.101
2018-04-25 10:23:38	f1a4f1a5d1211f2ee72d926e82e011fa:QZZTWN50VQMHBYFjE8m9baHcYI0CFMMc	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.138.103.79
2018-04-25 10:24:04	ef4e44fa0d878e666a8275328170d5b2:OZa6MFcqbyLfIRh4DLiYR6A8zuM6qMfV	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	39.12.135.187
