2018-04-24 00:58:30	5f3c722c7026d1a9d86000e44c416753:gv5KlYrulrRZQjYdHMDG0SxwziNyMHV3	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-24 00:58:53	e2d96fd16b7e9d28ae2917d80ffca176:fSojU0LjuuJ3J1fQ8uxzEXPemJfGW3GM	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:59:33	e51653dc0bfb0e5edef28726a60942ae:XU6jCmldqr7EW3uClGg2Z1omSLywwz4O	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:00:06	9f90d08a1860f80550d6416d076dd430:AKX6Nc1xmIQAERbBueaIs9kLcAk13P5O	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-24 01:00:24	fae8f62068bc3fd43675626e488db766:KZ9psZyZlOXtVXS2LiQOQhylGJchIaF4	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:01:05	805eead5014d5b3dea6e76926783fc64:27S7U3Hj5IrK7MkAsBwcF2o5kuraERri	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:01:15	78ead5a593437c3a73a4993649e19e34:SSCbIsS5U3RN8f4pIbnmTmYvY8DUxyRU	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:02:14	daa0cf016491d4df81ca9f85c82adac8:e13WzFsIQaW1QiF7MeIorBfp59pq5sIF	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:03:11	5052b845ab11275d36b14186325366e9:9AnEJcOLF5p58wIphI0pGHoZHyPZOuuv	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:04:15	0c7b3670100d36c272f06f1d92220e05:1QV8UQx4B1zPvgxdaeJto3jIFO7Ukqcm	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:05:03	2585f98e6299d171f287730ef442f738:V69RS0XwjQ2SNgwyaYVjGaPfqTxC7Djs	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:05:09	b576c346bb267eead2c98fce224cf58d:qb4gJ1wzt8FGWJIOUyHnztnkfFLxnPbo	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:06:04	1497555bb4ba712e75402af1a1c63ba7:onnBPabn9lp7iSDX43ZOEZFWtcPQkNzT	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:06:05	983f4e50be81763fc9641b98f8ddad45:r7xaCriklSjm48se6Wb9aheFH4FKy2dT	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:07:02	1443e5ce856b18853dabb6615e649f6e:kWJa3MQZlv3Zbarm3EgorPX7hhLxGwP5	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:07:08	bdfaf784155ee7f7cae21ed331dda812:832g5JhDTXwKQCMW58RZuAvMFNjoTYB5	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:08:03	e7a12129dccc9feb1cd5d5075c9efaac:xaOTTyanYDHEffkyLqoYeZKtpu8P3gfX	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:08:14	17bfd61caf52bb450c7423a545016ce9:Ykl5HizDtQAVNmccsPm9MQ3JllwwpXzO	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:09:00	0d1d3e74a9826e92c3c0a9f10100bb72:Tf9fP3ws34KNzKt4EiZjNd5affs4vhRH	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:09:26	99283a594060c322edb6e3f17e8d1b91:z561FRqU3Ji26WIKbTwco1798fcjTzBt	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:13:32	894e1de1468cb6d64d4531c73a391037:gTTIqrkZhIImmtb977tKxqsQO9thjNcf	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:18:13	7fbff849d9fdc001fc2f1af305db6e8b:tEwiyOD6lV7mM3HqjXZZhtaWMbK1quFG	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:18:16	1c258ae0319fa854cbafc941300a2f51:wSvQipnZLOiFPWA4X6dG8f9ItnHS24cE	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:19:20	1c14e7943e56804db9798d22a535c44e:mhmd2cYJQ13XLh0SPssMCdVGiBcWv0iJ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:19:34	17e44b1207ea061bfc564ba177b30ff5:QmCqnVVl6CRYxQqU1YEE87UTJLt608aA	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:20:11	b37fbce0e000d7f96148f0042fd0fb98:H0Ck9PuCSDxXVZUMajDpOmnDbA13rjpH	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:21:04	f497374e75a08259234fb2c5e628019e:fE4KegE5w5socLNcpsks6cv2wu1JkSzN	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:21:57	0d20a39ae9c111375351b59e59c0fd67:r3LWRbRhDymjSR0v97y4jrwxmfaidA7q	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:22:37	ca7211a54e8f5531bb99a9c38f378a52:3yLa5M7enZWKclw913qF5V1R3rjOpJ6Z	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:22:46	32876349fad7cd45c986a13167caf83e:FnTs203w9wA6mkYCJWw2qCpSsTVPxr8x	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:24:58	9177737c6428ed957ed47f068cd1df7f:BlXAbQs4BXKtlBJdCy8a8BL9ZUe9c82l	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:26:04	a2fb1554e067c55e4b44e49d6090dddb:O8x1MjYoJ0iFIWuLD5HA18HzyFmGPbyI	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:29:26	4e08b6d810a1014ff6a0c965275d0bf2:dd6MHb4KEsTC1yX0SBlTD6ri1eYysrmL	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:31:33	a58a5ce30bed96fffa867ee57b3c20dc:pjCCNCFGD07fzkp4ias7VJN2rE6Ysj4l	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:32:48	2183d2586616fa5dae05f82f8fab5899:25HlGvhLIvoZKw2ZfqqZiP5afyAGXtoD	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:34:55	a4d065778c19a03faa4de785b71e65fe:1R56Eb1nyuILjgOzmBAceHUVzNi6Djxl	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:37:11	018548c711fd43cd86077d36c222aa23:n5r2Fdko7Og38uxvFVJTSuF1MtIfl9OE	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:38:13	cce48cb3c37bfeab47dd6bfd1e207ce7:mc05bpNepwJqZfVQNGxGkI9SKS21LnPB	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-24 01:39:14	e24ca991e32f4cac26f1825a507e3711:tQTeUXPkQwDM9g8Fv1UPTHCoxJiFH8iF	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:40:09	ec8dc6dfe3b20a1c2d9c52e4743ac444:WYafsjguA39lygB7PvLA5tY6tw8bQA7f	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:42:22	56c2874642ff97f676773a72dfb6b0cd:446FLeXxUqCsEKVcidsdzsuQICoigoAu	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:43:27	2d00d275bccf6e0def34178c5aa29584:CvEoQCauJRuutcJZkSX70PzUXlFVwYFk	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:44:34	30c623b928a7f4d73ca950ecb4439247:ELq8S5TX9E6b3S4bSB0xScM3sD1djQsZ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-24 01:45:45	4fd1ec1be3870930aa2a5f8645930391:ttHZ6byDZCY5u0t1VISwFzgynlKIs4nB	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 01:48:15	71fd3ba3e63d963d2c125ae633f3ad10:PLTKFTJwi4tLjnoiBwej7usy31lqiq8m	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 08:06:00	24dd2049faebe2c43bb651a356f2c2b6:CgNyBfKxPUDgIQzh38nRPo7hPYULJ4Jx	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	1.200.204.42
2018-04-24 08:39:50	4aaa94a10627a9d62264c3c46252e9f5:YDMU3kwYtArjJmL3iUWHjpctyyjZ21Fk	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.248.168.110
2018-04-24 08:48:09	f3c8f6bac3f29f6dd36155bd77fbbcd4:L1ftwTpW1nrnbv0OnDVtwqD8bd7jjJBM	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	103.226.214.250
