2018-04-24 14:51:24	bdd52653d954babff80921213be3ca59:NSdQPlOWD4dr1hIcfxmt3dD7aIxq1GyJ	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 14:52:58	ae885cb6b48abaa78044350fc024de71:UmkWHtWpe9K42BfTYK7hdpWsiQjpmqAt	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 14:54:04	2e4bdb62d635ff729cc84f9d7cc0b97d:WDpfhGVk1dh33xhfbtZox2g1OmtlVgRz	Q1:唭哩岸打石文化,;	223.140.117.78
2018-04-24 14:55:05	1a2fe05dd3eefdc1958b8a8f631c80d0:Kzr5LPWVXOopEZyChIIV3uG8R6qJWcJb	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 14:55:51	cb9aed2d0db19181a5a584b75dec0142:HLTtRl24BD37E1cTRtvdODg8Ll7iJ0wF	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 14:56:46	5c83331e3f98bc763f74e7f29fe15f87:opV7dP2xWjIfSQSYZn4jNNpXUBmUwck9	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 14:57:48	431ca7e6a28ed716e8011e6c4264a820:20cp80CIb5HflnjEsDuPQ8kCE9QqhefX	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 14:58:26	23d83a4aa4a54a38cf64bf751379754a:Ff1nSrOBiFT86LOq1dyoW2rlOJxqGBRH	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 14:58:51	9ea3ffb7d23bfabc39e08fd5123355c8:xFSMIaLzCfPJDLcAtQdpZQyy7RZbYJCH	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	10.72.21.130
2018-04-24 14:59:00	f236114665000458657613846a418b03:rRnMqumfBEowZnWub7NNkJFz4drcTWnK	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 14:59:02	2ebae1dbda878c0dd5e213f6eded3d10:m58sxfCmkueo21MQJE3AOn887Fkyeovb	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 15:00:25	b1e668fb578fd09854e9b2f9806fa84b:y2wovuiSNsNX4NbikhMwQ4U02ci7oSnt	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 15:01:05	3019ad46cd04c2629ed0d3497e6c682f:tVIoHJshpO4hc7PLjDFQXZOcHuyf99fd	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 15:01:50	a301a077ddbd31933e97b154887b58b6:LdUjn5ssPmG0TdzUJkOTGYFZ5nUbitLN	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 15:02:27	0851dc5b10a5ff87cc0d878bf8c09b60:EkmPL5b5xp5OEGADG6L1BbTj5JYzYnj6	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 15:03:05	c03ee0166663322dc2620a7ef2764113:TlmqaFqTybHa8CakPMXZoQJrIQ7FqT51	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 15:03:42	632dc5e7ba5abe0408b78db6ce6d93b3:UgUBdP6YrKg8xx0PJXVjLXu4MuT3o6om	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 15:04:28	2f18e199a513d1489e2bc5445b75b923:esoE93NlWWz0eAkJaEZKaZKFmGXDTkK4	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 15:05:30	c4bdfa91daac71f0777cf04831c606f2:HzsybY5TseLS4VTebmylW6tA1J9fb2W8	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 15:10:04	2993d14a23c2e8ceb40c6ee26da21293:51O5uB6YTRKyN1FtdqGczxe4ipUDGDch	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 15:11:09	00dd39b6e5e25715ba52b334254a6c82:wTLa7ruWTDjGksfqg6K6RfxGkZyVVPll	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
