2018-04-26 10:34:17	da0692905def157764fba2d582a75397:1RfQwyykh3JBb879BET0h4On5rrX0vo1	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:34:29	fdfe087005584e269cc0adb25901c95c:OsKuADOx4duRgKsklWrADchaJMrezDIB	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	219.80.249.33
2018-04-26 10:34:56	b9f75b2ae7616e146c87d779bd20d048:SPgBILplkVIuLD8bk35Pt0OJGPSviESs	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:35:09	fcb21883b9ce10face8758c0d14f1f4e:imBShl4ZdFZqbJl1AD96ctpvpwCj1zQ6	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.18.90.64
2018-04-26 10:35:16	054392e537b9af24b9fedfe184f7dc18:DEao8ZRPHswu5EEJYJf8KqOtpPXguNtm	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-26 10:35:49	2c7f3b12d6146e213660b8f46a6ac8b4:Kv9Cjjm7060StlMh3xntQQEe8rumCpCW	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:36:19	1181edff80ddd1a481bd64ca4101bf74:8soc63BCIS2n24QlGwq67McbBzWn3s9c	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-26 10:36:22	50be27d51809b736e1028d83dab3ae47:75MNSocvtA0rpkc6DFPxuGXs97PytWpM	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:37:19	2858479dd06c569ebf421c3725949870:e7is5zSzqhFCH3X3eGj1cDoHWhnp42Id	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-26 10:37:22	103126674c1fc35cd923fed72e93a023:MJanicTBq3iB2lUsUS0dy7oH6yvZDReb	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:38:06	5f7d9d1b5de8c2d5002a0792b00466ed:S7jw1Ql47APfVYOcwTmj6LlM3gSfeupu	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:38:10	7e588958197874718f12161fb6256deb:ziPwRkIDQj8Eib3NDf3C0dkWsC6ljurA	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.18.90.64
2018-04-26 10:38:28	e0fe56c48820482ba3af56d970a22b59:t6neRxmiD9lIjlnnQkrgbuRilZCaqLOq	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-26 10:38:49	3a7f18d41c2b16df879ad646005c0248:Ld1GotHDQZrTIOvrIoPvJ21Tk2cvB3Lp	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:39:29	3fa144aabfba596620c2e42fe3d8697d:RyH32PLO0Xu2RKS0mANsEtotl8W8vVOf	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:40:09	55d9e569954b0fed3a1e1e62b64c62d2:5W5NJgEg7KGVPPQCXTUDyPnKQVauyXRU	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:40:43	c9922d60bd5540cb604059dd0d54758b:8ZjQQMjfV4uwviGTXUdTGhM5aSVJXx2T	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:41:34	d14b5a53e2906e3a79d366f9f51f4f71:KzU62RA3UE9DIoIzJTMLVYeEO93whRzZ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
