2018-04-23 10:22:05	d4025e7f97986533bdf907d8d602a85e:XykBX7AYPwayhMqOOcFCl0henlAjkwci	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 10:22:34	c63f0f51fb0ba0a22c8a675ed0bc7f37:pVA8Wdma9gSpJIGggRgnOk9PjoTJN25I	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.183.49
2018-04-23 10:23:23	13f2f2de5928c6f7de966352240de6c0:VejXsjBnY6l1d5LswL0gRFDm2NTXihBv	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	180.217.183.49
2018-04-23 10:23:38	551ebcd7f729b8d679184c265d2bcbe9:P7HNG0NtmBNev6V2VfwcVWhe57gRanCR	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	27.247.129.50
2018-04-23 10:26:31	af418508b53b12246a2800de573761cd:Wp4iNGHdMqWSNe1EYGmDwWGzRthSRj8T	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	27.247.129.50
2018-04-23 10:26:43	dd47db5631a362bdc77f1c9cb814e94c:abVQs6disqU9cnoGI5sFHl2HeO4660n5	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 10:28:57	06176468190d05191bf259bcfb1d6b8f:94PzpvtwoImQrGmlWwJ71zQB6uaEsBeh	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 10:29:43	3812ffa393609a7ecccdafcb2dbea054:x1IePozB0f7IJNpvlDQZdiIJEECxq3ur	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.170.104
2018-04-23 10:30:23	a9050dedbdf8fc4b1ad5e299ca1bb224:AraDDTNWbjPdQFA7j2io9cDnQzVGGBMN	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	27.247.129.50
2018-04-23 10:30:31	094401f00ea462ab98b92707dc86b34a:uIS160Dh6OAePQGwcwipwiR2igY7pUy8	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 10:35:08	59695150cf4ae7d782e87836c4091b94:9UPAzZOZuMnE2ZpbHnUjEhi61f9577jY	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	27.247.129.50
2018-04-23 10:35:35	2ef3ff3ac0a92a585ea4f58fd1651471:Icp482FmTXwYnB1fIvencYZFMt46CymB	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 10:36:26	ddf2215d6f3c8cbdc9cdb26da3b6a1a8:05oPrJsrms6M7klKA3eDccEYbZQ3tGME	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 10:37:07	b7cc59368d6ed39926d331a0dcba8206:3oRja9RmQHPQ4pEGno8wFuXUOds0iaTY	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.136.217.251
2018-04-23 10:38:05	be60785a3640d7aee1c50e722b240dc9:Z0pTByBIc5Ozvt4x1HNp331vdK8oFDX7	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	27.247.129.50
2018-04-23 10:39:26	7aa5002906108e68fa8d0b84372d2c1a:xHphzfmAjVYN696SGnku6uqV3CzxAksU	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 10:40:39	5c24353398d8c8932d66f72c6cc2a69b:OGpSFY3GkqEL0ol5LZjmi4KS8cSoO3Vg	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	27.247.129.50
2018-04-23 10:40:55	1f7d9a530ea167a90ee09d22907197ae:ssA0frgvziSeuZEyuEokGhzyPzlfGO5M	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.226.215.165
2018-04-23 10:43:49	9263682a57e79f4058c47d9bf50f3560:Ez5P4xPam52BP2zL2OGZ35NQ9BglpvDO	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.183.49
2018-04-23 10:46:18	eb124726d49fca15d472eca767be4091:8pg6BIAx0eduRgQeey4BdIIHHFjqRnab	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.136.217.251
2018-04-23 10:46:34	7c75d63059950feb363d3c9df0b167b0:J0LyrLuxVqFa56qdenM0oMCAfAacSoBj	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	27.247.129.50
2018-04-23 10:48:22	49ad8c50e48971ce3e55d7300a96f21b:S7YSjMrauO59yk8xc9c0LgyuRDs7mVOf	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
