2017-07-08 11:15:42	8da3e9e329f22e0de2f253dee600e6c8:MzU0XgejT36K2C09gwHlrBQzDD6d8iQE	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:20:54	2e1068f59cdead3aa539498cde125307:jBtilmVn2ymZSRFUsuNNc1m9YZp4vE1K	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:21:43	591f47bde84dfa58b1c8130d8bfd70db:xVV57wSU392vLfR3AlqtFqLuvgkcYnaP	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:22:32	a56cc13c13ad056a218c97b1b39eb2bf:jNSakwbHctHQ9yWUUVIOdMGEOLkkrj11	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:24:40	0e955be6c175c5ed522142885c0451a1:ua8QiRHJIELLTagxKGZ8L4aR39foAcNT	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:25:56	9361de43a301135c4bfaeb870f6160c4:XlQKSiw4BmD7ffCG8NDrsNeDJAWqegCY	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:27:43	d6e7c2001783b90a6daefc8ed901472f:kPf8p6KXWp5q98iuGU5ME5WqsQUUtBZs	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:28:43	55046d7f68092142b69bf6e037a13b81:AuNqP99JiOI4x2pyf9Jpll5RP2gHkDUb	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:30:05	5cd542797057c4afc516c20804eecb8f:CRQN62x8kmCvX6Ud7Dup9IW7T4z03iKE	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:30:54	c3bd21108cde4aadcda5ea8b6cb26475:JTdR63aOyXvPL6gntBU8yaHgYHMw0IOm	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:31:48	66d68874f5cad5f64c2a4ad6fb046d5f:1kZedRAlyF2yj3Q1PJeMsJvCZPrhO2by	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
