2018-04-23 09:37:11	958bbbb01ac8a0f7c5a9d0da6623fcfb:eASVU5JIFkFMPUGSJJBkzhkML2A5SbcM	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	210.203.57.192
2018-04-23 09:38:58	bcca2544e911fca29b238984c5196f81:hqCCutKRWbI0avAitMZcLkZroRrg0CQf	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	210.71.63.250
2018-04-23 09:39:39	f998ee62821c2ab479b299d0dec068e8:FbK3VwPjBuL5ckkqpslrBB30FN82uGCr	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	210.203.57.192
2018-04-23 09:42:20	2611a929f37cd315bdb40e27a48d2902:zp3BWDYZ25PVHFczIWLpPJj46krPl8CW	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	10.22.60.5
2018-04-23 09:43:32	5af5baf9a44a79426e2ef5c343ba345e:kWmrgIYLbowXKY3leqkjsL2a5II4jSWL	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-23 09:44:57	6647ddd62a1311ade950501ac9df7639:78RHSueJ0XcbuGTCd8cUJl5SpyOHg0rX	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-23 09:47:27	b6980bd12dbb9e4c0a6c0b0d2f76082c:gwAs978nYwIM6Mw6ccT3AnR8rKsVxEdM	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.113
2018-04-23 09:49:27	f24d7b07acf5eba0035ec578ef129f9f:JoyOeDURGGJNOOJYBdjeSNlJdFFbvAqm	Q1:公園內建廁所	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	61.219.72.66
2018-04-23 09:51:39	8aea7c7be5d9e18073b850467badb140:qMkr9mEL4tAskQLdioosyWEj6OjM4YnN	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.136.101.216
2018-04-23 09:52:33	33958d753fbd9d7f6854ecd99de15f8d:ds9L8eOh34LL2ssIYZuLQmRcwWDHBmW1	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,;	10.11.18.123
2018-04-23 09:53:59	ba445b9a717302a73277b11870f2e4d9:5TC93A3BZ0ZxIPN4H7567floJBvF0SG1	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 09:54:43	b6153705deec83d9164ddefa4baed735:VSpdAZGHfmmGwLdcm5McfmWa6lG5AkGl	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	42.77.85.40
2018-04-23 10:00:13	62a44de9699e5965300c98af7b59fef3:vjbPy1TpXq7pnyNEM2Max3poXHJSC7fV	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-23 10:00:41	1a863117a389e59ef2b8f04968729ce6:nELOzfqSzrZhh9ITIwd7VYMDKo3t59Nu	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
