2018-04-24 10:43:18	84d106253fba0ac6d6759af9440fd791:AXBDKYGRtuqTHxtBHPzBumeoq2eP1jdc	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-24 10:43:21	f2ae3c6aa152782c5da81a2a9431be99:mxdgp8ujZI7vhuK6cki9RSi9daHO8dHa	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	110.28.30.48
2018-04-24 10:43:46	94a02b12a6e6793cefec6b9d0da12567:DDCgSq7TmzB1rskJQXJQXmUoGWKi7hv4	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	203.71.67.93
2018-04-24 10:44:20	879a74628f74fd0e0eb00d30ea55a70d:PBnKqEBDNJuka4eoZiT9PTyKrYhNxHNm	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.137.207.172
2018-04-24 10:44:50	99db9d13b72a121a312b6ee7f7388279:67fhOJ28dGoHPwQCdl8hkJi8p8rXyAQm	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	101.138.73.38
2018-04-24 10:44:53	e19dfc235e311de0d219babec31306a8:prRsxZaGHbNZBpko7e6X5lmkocty9vjj	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	180.217.108.182
2018-04-24 10:45:14	409db801e42c799ea2c048eb8d9d130c:Av1wbRllA7wWJmM2ZaStVseTv0eLIy86	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	203.71.67.71
2018-04-24 10:45:17	6b9989115feb09baf41dd2322a0725d8:orLuhveMgIHOhgm3Z4OQqM45KFK8azoG	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	27.246.136.33
2018-04-24 10:45:17	cd659f466a4e905042a3ecb8d7f60dde:EFG9SrRQLZ0wR1qimSRxBsrNOXxU5dgT	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	101.13.160.100
2018-04-24 10:45:36	5ad4f4777283e3c8dec25a4111b1828a:Z8Ly253SZUAGyIdJu2VtNXnmEZY6kB3K	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	203.71.67.81
2018-04-24 10:45:42	f96f881dd3fcff6ad54350d34056d10d:DMY0nKem0yuVsD4PD6xDBKvlSo9Tiysq	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	203.71.67.85
2018-04-24 10:46:34	3ca795c6e362b21fae666bca0ff789e6:HznpYiOVAoDef8vrdg01VYxYbQX8cLp0	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	180.217.131.58
2018-04-24 10:47:13	2bf1a66545cc83b1b1924ac49bc626ce:3M9ULdljEZcsoKowL5HThTwP6hHgXWgM	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	27.52.137.38
2018-04-24 10:47:17	ddca442db1215356cf6e921a2f78b35c:4TE2BuoCRQJO0U9pP47dITH6O4jWiRnQ	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	101.138.73.38
2018-04-24 10:47:20	1b206c5f6f30182248cb5b1f867e52fc:3jNucOuLgMVEOaMlZx4nhY33CeYLhbwm	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:47:53	f1cfe2037c4a4e50ab85190be0de4cc9:N5QOr42ahViGDh8jGracFfDB1HJmOJ6f	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	203.71.67.82
2018-04-24 10:48:22	54dad953416e08f756a04b617c40fd79:ADfK3i0UZ9vbbH2o0ubcrNtO0fAm2faa	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	27.246.136.33
2018-04-24 10:48:22	e059d63d82a6255c4d13a81da5880c16:JLyzrjMuGl1oX4ZPnIB6eEhQN4Zom56i	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	101.15.197.170
