2018-04-28 09:23:45	cdde38ff11cae225d612b0d645e53093:5ei0PVhZKrXoAyTp7DydZbnPg0SJRo7I	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:23:56	5785a66c01bd9d17e5b88936c18fa485:mybpiiD7uyJVur6ylrzh7x2f1UgMcfxV	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:24:08	be6cf2d198dbc294d0b424560896b98b:Q7Q92QM79xFJmUsKQNgdlyF2KMI25L9A	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:24:17	9a2c8cefeae3aa882762160df664f715:UK8VlGiF4dd5E0fub8eqAeDh3jUAqL54	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:24:28	2e45a8f484b59c94a0e4e458e0c02f5f:kWHTJDnozcGDwWcD3GuJqSJ0IJ7RXK11	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:24:44	1d7752d7680adc9a0ea6aca193b52214:aDXZ1E6kMDywFtBJUbOuswWo6jNtMGZ2	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:24:59	58cc05ee4836130979c3952425d3f7e6:OZtJxpkxyVV4O9W4VOFFw6BYKHVdm8b1	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:25:08	cb41725468bd6973e6b392194bcea447:33rKtEQ5XsirIjW9sXTaq8VKoM6TqQvJ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:25:20	491ebc067d41367dcfcc238be9d5a356:CGkcBPWcf90xoZd2FLr9aeNctIf1Uuzg	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:25:31	630d3a3b8839bb2770ac906d7fc0e155:NDRFKo8C6zEcNdGrSHaTCrfLIPBa7aey	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:25:48	1edb488b88f7ede6f12d4edc23f73971:SfmCO7e2vVl4HYZOCWE3RVJXxYn6v1zn	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:26:02	41640acfe622a824262a95a28115da88:KKUZalInaNutMLv5eb1gch0FGyn99LoU	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:26:11	86d28e9226cdd0a053bc8cca6f7a1566:6Z5MiEofX4Cny8iqZJlcsG9rwL79aclh	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:26:21	5b1dacfe87fe10fdc38341703f0659c7:gFXzpd164Yq8ClsD5BZclbigHtEhDQdN	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:26:32	ba5746f0e6f244f4857de07c0e8720f7:vUJaneKXQGfBXyq5ubMmUie16F1FVSKT	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:26:43	2264f85a0e9334418f8bf8f8af9435b7:4ZbR3orbfimIPgYK3YNkEMI4xAPDHyvv	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:26:53	a4bb04da3bea782593716d21c868deda:Xwvze7jbPUcj4bFBEC2PDED9Dk8AYXf1	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:27:03	030eee190305d127a4ea165f36030a68:Uoi5V35aYMjhlCc4aRbCBKcNUmtFiuv8	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:27:14	4a1fdbdbe7fadd3e7cfdde71eea1e56a:1jS4PA5e4i5UBSF14Ghk5J0yEeKGxGmR	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:27:26	27add093cc67990aeabfe2db258f270e:V1xQupalvkZ6ZGzOggzylMLpNvNjBEO4	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:27:36	5ecb2ae2e43a60a6d2dee812378642cd:zAlmoFTw4YW2lPHo3r65QarDaiEG9SeL	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:27:52	92baf11c5aa62bd5d13960d0ebd33d44:ZZWbFTK7qcuw5g8Fcbo2CZyJqykCk6id	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:28:04	f293c11cef4a6828207811dda3126c14:gg1GNQunuyy2gwJc2BesLZjPKxEiXjzV	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:28:15	af4b7e996e0a089aff93629c477c33fb:BHf6YakofxwAMeEqbp46Xqkmt50Dbt9o	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:28:30	cb0fca9135ee918d3ab473fbdc11e443:zKR8vPth1uDmkZumqYMxQAqegyEiF2Bi	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:28:42	8934ab8dd29a3e77ad41319c6854fdfd:S5FGmDMu7wncPztuq1edfCMbsV9ubj8u	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:30:36	7c8660d7a1db6b0064c7af4a71022273:28cIPCF3nKpc3VGNuD8nuSBwUvhn3tLj	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:32:21	b60e43a80c1d40f069b97cc213446cbb:GlbQ0WkCjP4I8H6wzGvcBZYfw2cTiRop	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:33:01	6bcb8f26438025424997ce8425503caf:85KxIHVSqp1euqOsBGzKfTwOVHi4U08U	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:33:19	6ee105ca2b1a713eb850884cabc77b61:lYOxEJ3SbXD2gbRbuNdMSSf4CLEImUrx	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:33:36	c0a47ca950ff2c678be78878513f5506:t0L2ybbIEevRotmDwRgvTxhOqKHi795a	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:34:12	3f41b63e1a1c558531a37a1845461ddb:tcQZl2cNpBTaq8I3R4TzLYtd1neD9PKk	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:35:27	0e3d0e974fe25c346703dd325de5d847:S9Su6FOgeJxGnwTWKK30X8F8VDuZ4UKx	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:36:52	736cb7633c74d467a3b559a3b45977c0:k5hncND27CcWFpq5pkTpQsRaGX6pSpnX	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:37:03	9c33874244cc5b4aedae971f7ea41b2b:WqjrGSxRy9BlNdszBiefbErDtIxZCHM6	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:37:14	930f2046014618f1fc58f552baac9fed:Y7tFjJaEduANzUG8bOZzU9C3YA0gl3Ex	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:37:24	3a1c76345baa4131a5640843f1f61743:sAGDBhuLgL0Qu2aiax9HmGLKbhi2a8ON	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:37:35	2d75f123027e9615c47fa9098865127e:CApGGRM4pRoZX8zP8r5lS25CVFd88OQK	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:37:46	e7280da4fce24244fe2b3a6fac390ee4:Y3HRZeZxpzhRtj2ZQP9CrxGj2rdyvuZX	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
