2018-04-26 10:07:14	7514477ce5c0e4d40727025dd8736ee5:qkArT2ByPauAO65UdzjkFDVqSOTOCmJc	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	163.21.235.242
2018-04-26 10:07:29	d3c433ed6e2533ae180b6125ce160b19:6bty5t0lMB2MRvgOt67fQMl6BMvkCSJj	Q1:百年觀光新店溪河道再造	,住好住滿	,;	49.219.133.178
2018-04-26 10:07:49	a779ea81a9d19abe18dd89d5bd5ef529:JrXdbTFB2JxBIBk7kC6byNgjROUoZwYH	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.60
2018-04-26 10:13:00	375e2f9400f4ba18e140d8198fa2d3c4:KKkfi8ww5eCioKyGH5ptwjoho1GotfWA	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	111.71.37.149
2018-04-26 10:14:09	3e3d20f10030459aaa561eb30469be2f:4hd4T4NVGbtaw1bYUjcY1bqu27FRXTfu	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.60
2018-04-26 10:16:23	85870b21604ee956e50568e16a0d645a:KENh4IfaMoIwFj6KO1qzSFdLCOclN331	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	61.60.127.16
2018-04-26 10:23:21	07b5ac713f8e0cea6ff36f8ed968890f:qdpTRTEtQzbNGKupwtogyDsDvL4HkSK1	Q1:百年觀光新店溪河道再造	,住好住滿	,;	42.72.202.192
2018-04-26 10:26:28	35bca0bc2213e47cbad302179c043881:8ZD6EgYg9IIkxGcMEu5x8hhLaNd8PeTh	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	42.72.202.192
2018-04-26 10:26:48	6122e2201eb50be434739504594ba938:ZGgVmnZrolezQBvI6WCjdmMJTlxxlepd	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	61.231.188.191
2018-04-26 10:30:26	ac6bc8739467e99305627e257c72a49f:kBtaMi14PLPMRMhTJ7jotjnh3xqrbmMj	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	111.71.85.145
2018-04-26 10:30:26	2eb6ef0bca0676706cd2ec20a4dcfce1:vKzxe5ql1rcRupMJ4PsazGYRLcCJLdlB	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 10:31:01	8a89b42afe0f74cc4c796b85bc9a74db:MwAp9Gko7CTq8isS86FRApyxl1XvywtC	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	115.82.155.189
2018-04-26 10:31:14	f226f100f4ee5bbd982c997f7f324b9b:7FtuHzL2xUcvcNbxmYvErl5JO5E1ytuK	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.60
2018-04-26 10:31:50	b2f76b4c7773cfae7fe9f0f80d7d31ef:a9PXXRRTPFp73JNWNariiyw8Di1NSbkk	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	111.71.37.149
2018-04-26 10:35:30	124d5ce6b586b9a22b91901d83403e0f:hX7TbHXXzDHqK0LNgBjkpY5JY710UCm0	Q1:百年觀光新店溪河道再造	,住好住滿	,;	49.219.133.178
2018-04-26 10:38:26	47eb51b86a70083044bd2cbc1efac74b:s1rfi1EXY75HfunYR8BcwVXXDiLyzyhk	Q1:百年觀光新店溪河道再造	,住好住滿	,;	49.219.133.178
2018-04-26 10:39:42	9cf8e1ea828505c22d6b916ea5553b43:V2Q0cMnz3vmD5HzJ4zEfq1EgAdZPTaik	Q1:百年觀光新店溪河道再造	,住好住滿	,;	101.10.17.97
2018-04-26 10:41:10	5acc4e6951953ca39835175ea67c2cdc:67EHqiPldVmTvyVHoO7yz2EjHnOVlA1I	Q1:百年觀光新店溪河道再造	,住好住滿	,;	49.219.133.178
2018-04-26 10:41:25	da7351fe6a0eea45e05e1c9bce440dd6:QTw8CZ5BF9QMJI4UZw1m1irAW5HoGWRP	Q1:百年觀光新店溪河道再造	,住好住滿	,;	172.29.8.60
2018-04-26 10:42:44	98048696b9601c5b3ce3537fd56c7208:q5ScFkEIq0iulz1xhahZhrvRVPoMwRA1	Q1:百年觀光新店溪河道再造	,住好住滿	,;	49.219.133.178
2018-04-26 10:44:46	2b117f71440ce58753c0cb474ee1662a:uQlyHkOS1o4B6v42YVd1GmlsutMnRYM1	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
2018-04-26 10:46:57	1777d288b16520fe1abfcdec7a8396d6:nAh8zhHwQQ03azxkPMwmGvSff6yuP2Xw	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.85.145
