2018-04-20 08:45:39	ededf683a4007a85326c0ccee425c3cd:O73iem2VzIzXf6mYwfT8myDuXNQIUMZN	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	163.20.180.116
2018-04-20 08:45:57	6f6883365767c389c5de4f31263f6baa:PyGrFjyaaeE1xDyAV83ogbLXtVSaWZ9e	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-20 08:46:11	02b0a039699ee2bf58de566bfcc88683:XXF8YUIRb8DFlRYP6iNTdDJP47bSVOjm	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	163.29.132.240
2018-04-20 08:47:47	c13a4656e33abf8be7b97dbe8ce775d7:t4PbhGumtHbDpqUpc0vLmHPqfi5OggME	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.138.148.174
2018-04-20 08:48:04	ad11f27d5686451dd8f0cc87de72a04e:AM7jXumqvzbmoBMWS05aHxAK2Ifbv5mg	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-20 08:49:06	941c333d3a99a8804b95c106f58c4d94:1ekVBtrmAF893CfR7zQNW5eQ2JLZ37TA	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-20 08:49:23	f0b6f4fc6683b6ee6a0ad7986e7c1e71:0VvuUV3aIQZkrOZBySHNhgHYTs9FIBwf	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-20 08:49:27	acef141c53ed607ce7b82e93189e2b41:cBkGnafYLSxCA2fBTXNzGfQYkusFFfpX	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.138.148.174
2018-04-20 08:50:02	1b6ff409b8af6f80eb12445bafbbe8f8:9RkE0UACJ8Drhl1R5SdbBl7aiVUgjeSS	Q1:閃亮文山．越夜越美麗	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-20 08:51:04	521bc73b6e6219283d0c7a4365ded3dd:xYtzrxvqWY7em43DniuSHGYQZmrACyRf	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-20 08:51:59	53a04814b6cc1de345de8e80cd135814:814yW0a9v3563uxlq8ulVFw5K1sNGqAv	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.138.148.174
2018-04-20 08:52:06	e5f794d89692de9ba3a3415c6722683a:kyvXAl6iA21KrfKsm9Mbddv8xEq42MN5	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
