2018-04-29 09:47:38	4261f0a1d43910e530e7e4dc558a269f:6KGlMj0iITlLXRYI0DH7jQODPEUf9tN4	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:48:47	26520980a9ec8098c72433b5a776a425:VBpSgxdlJ6O0KJdSj3zR89CMjuTZ6PoA	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:49:50	1b8025d45dc9e1765c859df3a8fd8905:khgrfI5WkPUEGGDdEFy2K8wQstx2LQ6G	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:50:00	c3ac9d2c1aeb592078e10b3b53e31542:PgfwgoJ3zoqs0UGGIUXejqvmhp7PO24l	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	118.233.155.135
2018-04-29 09:51:02	6e21b726feac48665483f9683a96a098:vPSVnbA47gxIN6JXaBk3hH1PJJmdqFEY	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:52:18	e72df395878f102835f3dfcb49589fd8:IpLFEhAtjOqX27xWTc5KL1tP35PfePI5	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:52:33	1ddce9265115e7fb251201749482ef94:NIxyuB0YSHL0PlloutsbooAVy0vbSocw	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	42.73.63.6
2018-04-29 09:53:42	fbd1bdac54ef59cd248305e03e5539b4:oc0IK9GPgngvau7lGfXYFGwx5WOEwNQ1	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:54:57	9f87be5303d34d3a679da0d241db41d7:wQT95j879z1VbAeGiUHu6nsBNt3QJsbC	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:55:37	46adae1e494eb77575be232c268d188e:0QbcM5QErrUzuAwVGU0rXn4U568MZy4b	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	118.233.155.135
2018-04-29 09:56:14	7ffaf5c446957e998ce6a9bd9bfae21d:rKJaZXwTvm6cuWuuT4HO8ryPJLn7bC7h	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:57:22	02b37c1ec1c5909203381faee241a1d7:ZnglZD2F7CElIW3sd31UP6hK3pWTtHjK	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:58:38	09edb98d283590ec5cd2ea9b1923d053:fXYS9ShLS6vo46GAfzgS5bFZvP2hNw8h	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:58:52	fa0e7890c1d0fd1e43eb6923b2921c6d:LXgFmnulaPmR1BR6pOvyREQmUj0mSlBD	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興豐熊讚親子主題公園改造計畫	,;	1.160.22.178
2018-04-29 09:59:52	d30d13f7ffa220f30a8471d083c6a87b:mIUgmZfSoXjWTQlv6SPccSjiox8GZ4w8	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 10:01:25	7d0485535d19300fd315e82400045f93:HTrocHIdkIz91IyEh0nzUscri87oxgmY	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 10:03:01	b80541913567cd6f53215298d70daf3f:FU8NJw5wdobyKwLRmIil0zzcgXfTGHAM	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 10:03:48	f55f55dafd2ab47a2eb4d21b3ff7017e:VbWGsDcYh49GUrof2I7dKimCf8N76r4q	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	1.160.22.178
2018-04-29 10:04:10	478c3f9fc6664e9677d709a954dce670:qspl7JQXD8dTugNc3sVTzpv06kkSvFkW	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 10:05:14	05b15ab9a542a09c261aa97a52dfc23f:0lSAvTRRuc476bAxeeRj6L0r1Tp0nLjf	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
