2018-04-21 21:19:52	78b7a81778bac45a5bbb8db891c3a3fd:bhZu2URVtruZhjIyFJI94RFJPobX2PFS	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.137.246.99
2018-04-21 21:20:18	c0aa2ae2e48343d76f32b35a14aad642:oAyBN7n1lQRQ13qlQRIRMgUoTVbIrZlY	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	180.217.143.184
2018-04-21 21:22:12	cddc0a0d6a70d732d655bbafda487198:EySyVXuL31f3DDAGL009hAcRSB4fFVoP	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.137.246.99
2018-04-21 21:24:11	13f96244f8feb58c03e7aabae1a5738f:F4RcVIVVfJSPQhXOrDACbQ7n2kiV6jwf	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.137.246.99
2018-04-21 22:54:56	e05942ebc1f1e5e4788f5f63c0ac7e40:tjfSP8uKFdjklSP5TBkbLRQgiaEkbBGu	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.138.158.129
2018-04-21 22:58:00	d12100cef7e45d439af6293c1d7e0dcc:uZJuchKSWphrG8MUa6rtJ7UMIUVfjcCY	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.138.158.129
2018-04-21 22:59:45	a7f26ba8a9c7ca737ab0a71ad7cdaf0e:mA3DqDhbJjnts45nKVQcj0qtjVLzhWVy	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.138.158.129
2018-04-21 23:02:03	309df81a79b35173d4f51369f29a53d5:YAvSen4g0MqnCfXSzss3jgqvFbOWRCYE	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.138.158.129
2018-04-21 23:04:43	c30424c63c37382a88f7ea0b3f9601d9:nez6ABHmMnLkfW6xuA2SbnYkwsApywji	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.138.158.129
2018-04-21 23:06:23	706b2acac791ccdf602d41946033b89f:CjqQvBZ0DiDLTUFCPrrAKpjjgUIC6DZE	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.138.158.129
2018-04-21 23:26:44	b0d80d24509b47e2cc2aa64a28d1ff89:NOurOtjecgzZf8ulz9Mb23R5dn7KmHNa	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	220.137.14.208
2018-04-21 23:29:52	c981c77aec11119b5d4765e2fc955074:zEabZb8AOAG7gQqlWwtbhzuVSUMXbpsk	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	49.214.242.114
2018-04-21 23:34:09	1d1dbd56f90a6ec43297bc1755ad96d0:fVpp8f16QiKp9fs2zCrMz4OFXkTWQAm7	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	118.168.153.105
2018-04-21 23:36:34	8a6515f30cdbb8c476349c2481fb6c57:TVpLNUiB3dQGB0gkU7QXQQNSGkSZm4ds	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	118.168.153.105
2018-04-21 23:38:20	f11b8767a6e6c15c51db056b80d17da6:89kWRTdnM4JIiJjEUZeUxcO98jIMqELy	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	118.168.153.105
2018-04-21 23:40:08	2a43936b95a7eec2bbf17129e67bcb50:KKaw0MuWo5wzIIqIQERzwgu1rcnkxib5	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	118.168.153.105
2018-04-21 23:53:14	0c8f90d8b5504565906a78f113469df9:ShiAIyVAhvJsCHRmtFU92OxedCZ8S2jP	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	118.168.153.105
2018-04-21 23:56:20	2d0b32515008c95ed89068576e1167b5:VuMpyKJAUwmLFvv9L3SvDKqRgbzKpMSb	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	118.168.153.105
