2018-04-29 14:02:38	e4f335ac4b4ba73835c550e2ef997b7c:H4JR70VbK3eBNZUAyzTdW8LoN6C8i3W1	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 14:03:51	97d2fe6c3087d1ed2a36ea53ebee5055:AcJ3N8cuaXArrsQqtVKJfsx9UH10ONWb	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 14:05:08	890106900d78ef690bfa2a1f47a41f63:XmVR2UWvcNTBUOKEsh0QgSymLwikmJKS	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 14:06:18	7f90b256883da96d1210c384b01e97a1:tcwScGrCZba1ZVyj05CmWGsigZgYK5MY	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 14:07:34	3aff1414ec965a08e7a8816d6a0a82d6:MUuI6mWLJXOV6Sa9DD46ZfUbehYkDFXP	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 14:08:47	1f0b42f2b15ee3bb3a655bca5982c4f8:CtYxSPe37cAtECf8dkQFmSL6QX8bpLWD	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 14:10:01	ef65dd552b814ce072dae7c36d792511:loZZrMlUUCp2CH6F6DJfkQDoXgqqulCC	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 14:11:11	2bb85411f022d3dd2bcef652f34b2d02:5De1NLvwWOOrPKL9JaoT9kBA3ETPf3Lt	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 14:12:22	d6bca752e1ce929485ac7eb24fac7c5d:V5HsZLjK46lWG6hpxOsU2KAUrqk4m3Do	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 14:13:42	a3e64666225d68b852369edd25685249:8MvHF46MPRj3Aqt9cpqCXMKb2AkgfExO	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 14:14:48	5957105cb2a510cab8325ad6ca662729:pg9czr8qYOXM8yCy0SRqZgtmjpJGjJYT	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 14:16:11	51fa4a693c47a07542e207ca526058d4:Wtmz3Jl9adgNoGOMixxzVmz0Q0yronL0	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 14:28:24	a4df28ad60bd9d8e000fe1e8a3017c9b:02HcTOPJWWECtkmgAbT60sVJUzTP6cxC	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	36.231.34.216
2018-04-29 14:31:19	e1408ad17ac981c62708cd14d1153c9d:DWwUGnTtPYpKHyCGCQsNEwTjMOH7Pp2a	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.34.4
2018-04-29 15:07:19	c5b9cc1024cacffb948588ac673b7f07:XLds3T1BTaamGxCG3yyvypyCQRTwzGzq	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.203.216
2018-04-29 15:16:05	229a4ee0291525ebdc341d34a2509172:LdpKW5Uq6zffh6rHXiIBL3PjYEIdNw7y	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.203.216
2018-04-29 15:20:53	81086eaba0958ac8bc45a6e7865e0236:FOLuTiYJwbdXZ94v3wkg1vET2L31ThAc	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.203.216
2018-04-29 16:34:44	33939fc495753231e707b834eccc33b4:jNk79XzJlrOHl0OJBpsdmqeuZ0LMWfAY	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	49.214.176.99
2018-04-29 17:10:37	93098974e6daf4859b55adc58332585e:2BmDNsfgaOvh6Gmz5XqU5g8E0sC6nZjp	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.15.231.132
2018-04-29 17:11:13	38693f8d7c8068ecc5917e20c0108fec:m7Mp8YP1yDsbeeTCx3aEhyltHBf0Duvm	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.137.71.101
2018-04-29 17:13:10	a0bd5f0cf5339ca622d1b6f057aa501c:WlqjneoGXZm0m2TphXtaucG61VB002s1	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.137.71.101
2018-04-29 17:13:36	03edcd27d9e28465d32143f3f1f38d86:cUwcuDaasF7A9qEKmomjZmJU0t6oZnkM	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.15.231.132
