2018-04-26 09:44:25	39752551f3e0de2038abeb1dfdc841a7:H2ideA6LY5O8hGOFLkNgdBRxGdrryXJs	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 09:46:42	4c8fac8de4baa7e93e8a6849f19530c3:A47WOtF38DF0zLhAoQOCa9cjjEP7saWI	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	49.214.231.205
2018-04-26 09:47:00	d64a9b297bafc956510a3309680552d5:WubaACbilm06REmHJY2wGo2Mp3ovujus	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 09:48:10	f9d5f6d4ab43a70e44f35f22d3879d75:EZ6ZzGCxLQLojxYt8YZRAI5SMp5tMKdA	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-26 09:48:11	229f78bc7cb6f1aed84c2168dc6cc0e4:upAcWNetppvONnFm2b5yWxXy44y06Tqq	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 09:48:13	fd88c202340d1df3e0ad3600f1a5dada:njXDr5krYlH5ZebxNOwxEJOc4OkMwBln	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.137.33.162
2018-04-26 09:48:13	f4390a47073c415155b821ba7b036196:bzEk98ivgGfHjlJHdzNXotz8rRTO4JsJ	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	27.246.192.132
2018-04-26 09:50:34	33d3df17accb0ff5b07f740930244793:43gAFShrhubO5seygzug3glEGQWGS3h7	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.139.163.72
2018-04-26 09:52:25	88e04172702563fc43cf99cb9e8ef4ce:QKijor5RnHWo7npplUv2Y3ZHtZ4knRlX	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	49.214.231.205
2018-04-26 09:52:41	272b80cb10d0b3ff1c3968e9d54df7d0:5EJuaoXxWitsdsBj8inGmrHsMFnbAIZE	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.137.33.162
