2018-04-17 14:01:40	f48abe6d4b6974e9c8627177bdf9a092:Vb8eV5L4HD0iXOE0jg5U3EhZcde1ISNN	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.15.146.72
2018-04-17 14:02:59	5f07df9995d8f2c58959044fd1c79fcc:5mP6aJCRdtkvcNKWeZbvlTOblDjU3buX	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:03:31	7591680f1bf2753d2ff413281c506e44:gU0FhnVbFW8RWIbnsv5Iafkf3YVgByDR	Q1:唭哩岸打石文化,;	101.8.152.102
2018-04-17 14:05:38	1087f100a8d60d763b37813c9063aa29:IOy7ma1Xxbxg5DEz27P91gvJIFSfGjEB	Q1:北投區環境資訊2.0	,;	172.28.67.166
2018-04-17 14:05:39	cba2e56f239a08dfc3aaab1ceabf2a24:CTK4XDlLR4It7eWsoMM5112V9DJAx5ZH	Q1:北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:05:55	18036fc020781f65fcd0b89e9a7a3c94:ysQ9lgEGlwK6UsBuLqeZEI1eA8h5qLBn	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:07:49	6019353acb7635c2820a8d86448c3548:wSnte3QoahPdnwSaFLUovqHjL8r6R5hb	Q1:北投區環境資訊2.0	,;	172.28.67.153
2018-04-17 14:08:08	084e870bf4fef5b666229bd603a7317f:QSJHAHtvRMqICIXAqqyEflGsMVOQ09x1	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:08:50	e77067389d4c3ffc7b16794773e506e4:tQc45Jy6UpUTlnobBcFLurG2siyGxCsX	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:10:03	1659327d834c55ff598d213b0e988ada:yJmMiPs7ZgnMgJbj1PLhac9IORB3tH8h	Q1:北投區環境資訊2.0	,;	172.28.67.153
2018-04-17 14:11:08	b61084e00d5b4882f633e8d3e169ddcd:6peMZhCapxegvwuT7zhB6ZKugiZG07zU	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:11:34	da7e35e4a9c08b73396d9ad8a7e04267:rpafP2WTMPssdboC6jw1twphBv0hrENL	Q1:唭哩岸打石文化,;	172.28.67.153
2018-04-17 14:12:41	f41bd90adb256e3bcfcd140bc335f742:2tZ2hvBMDe93hnpxNYUYYR1bPZjXPcfk	Q1:唭哩岸打石文化,;	180.204.51.4
2018-04-17 14:12:58	def5a1cea2d359860f6096ce1bd7f060:NtfuTteD9m0yhxYLAAax1N6wjFkcAnX1	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:14:09	2224eb7e7d817df903cefb3b585b7bd5:ShOeGMgbyYULi9AuIueAtFWgnSe2uZWi	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:16:00	754260aab45cad450303a52f67677eb9:nUxBWZ9UMSsj2mbbWP01AvjPUOnHb5SV	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:16:29	169704dfd09d237b2f2c095ee0e1865b:225OxS4Y1qjnkpf6Z5tJgnIRib65tboQ	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	210.243.0.253
2018-04-17 14:17:05	a1c44357aa79efc8798847aebd0a16b2:0OsvPdvaTzTFBFnYjATQ8HPlFrPupNoI	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:18:07	8b750f8b0759a77428c0ec16355de824:T0E1yjkvvsErgw7uPIs6fYJfiBfPrLqT	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.188.211
2018-04-17 14:18:33	ef4773acd7c042c182e7bcd49cf3522c:l5LrA46f5jC4A5MnBNyaYKRF9Z1eeLC5	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:19:32	38454363bfb79344e01134fe7bd1560f:Pz13YlO1udhXRHVFIDcfiWwTXRjT581K	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:21:11	159585e6f9624dbb65e40fd40f3ed9a1:eLicXeXHOfOSnjdy8cKDTU0LDYSpNQNq	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:21:12	4c01dde848a0c2171a0c0bd9dcfb7a7d:D0ibbO2G7QZypMD2r89r4XO6Va7bHPYa	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:22:20	ee80c51e12cb0cbf7a1a20be72af0769:HFQkLsnKfOoJsjri61x4bOOxqTnlMXgO	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.67.1
2018-04-17 14:22:42	80eac5c88a3c3bffdd270695c19e2ff7:zgkedYGTJDRNKTZUWOSeaXJgU46HSWX6	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	210.243.0.253
2018-04-17 14:23:46	38ab5d20296d031df4187f6892163872:ix7QSn5AmIupQC0VJ2EsRYvzp8PHsiMg	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:23:46	2d304c00ce5166972c7ad1438c0bea1d:oNtdssfcfSBF4MJFcE5AJrURBKv3YooD	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:23:57	2cb49219848fb79bd6ceafaf8be42f4d:sKIT40T6fiEQzNSyALX42xEHO4rVeQVm	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.126
2018-04-17 14:24:52	91b2d01a90ffe4010a6f5640807bdfb3:HGfQaEbfmhLKrJkh0fMgTtj41Ba7oIdj	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	210.243.0.253
2018-04-17 14:25:19	721ddda1b54bd5a0cf22bec393b6116b:ssvUzTi05jm5OC3h2bbVih9yZx9LLwts	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:27:05	2c48afe5f0a66cdae4bb0d6abbf7e087:H6WYVvfEI9Vv22486v9C4c2Xy5eg9Ofa	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:27:24	3b79c4990d4adc4eb119141b84507415:lJTlecD7SmK54VRbh76Kh1G0klVjKRgp	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:27:40	a75625bf558aa083ba166c6c34fc3472:0N97tu4kBrAu4SiTn09sAxC0XOQsx1iW	Q1:唭哩岸打石文化,;	172.28.67.5
2018-04-17 14:29:33	6555b7cfcddaa0cfb65f344b2bdd355e:81FLiSMzfJv1s6DzLoThWslsWzm6lxwe	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:40:47	b2a1bb537a8eec9016fbdce8c538a838:BO6IVkndVbUpeImttkGts6bHfOKOSYQP	Q1:北投區環境資訊2.0	,;	172.28.67.9
2018-04-17 14:41:30	db9be63e4353a194f698a5c09b0a3081:B1IzIWWYPLNnS3MqjWxtkHWFR3CE9bak	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.67.202
2018-04-17 14:44:04	edcca230cf0e0ab17b131a5bb5cbf0f1:rZ09Px4zUP4A6tjOyQopWGfhk87hfMDp	Q1:北投區環境資訊2.0	,;	172.28.67.9
2018-04-17 14:45:04	38a1b9657195f2a8c8836bf4dd2b7c70:toKlyymLoNCNnhrOiXB25orMVKMQ1ZcP	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
