2018-04-26 09:06:59	bccc6163a74d228816fa0d8ca7751b8f:qTLRVE78Vhc2ln2ppJ5sJmoPGBvkQr7Z	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.106.68
2018-04-26 09:11:04	a9b073f0b2a10e823d6b28c90e07c3bf:zimqqvMQTyWtMOIgTZRQrcpxDNmbEwZn	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	172.29.144.204
2018-04-26 09:12:18	428b8883b6e2614e4192f0a74d1796ac:OKzOHgTDMbwXUagrPpn38IX1SD0L0RJF	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.106.68
2018-04-26 09:13:39	54c7dc6a0b57dcf6caabcbf2c3808153:FfCk59mpTmHTt81MsyBJf9n7XsLOCwgW	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	114.136.10.117
2018-04-26 09:13:39	a1486feadb57968fd37b181be80b6419:gVXLmwrzSaGA4lsiR0w8r3GdBDdAXH2J	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.106.68
2018-04-26 09:14:53	03e89d9459477cdcdadec04e41625148:DLS2S6GiDsSyfhi25gmnsho4O2M7dg5C	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-26 09:15:07	2deef8bbde6d55c150876a0caa9eeea7:GGlAUH3cDcWoHzMmMZncTy8XJEIPiGHq	Q1:呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.30.218.57
2018-04-26 09:15:53	b21f67ce46810128b8e593bb9ed98918:RYn6GEm27ADHziNvHG5ECGPqPpuh73PE	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.106.68
2018-04-26 09:16:55	c4bf35fdfd8b0c7c1167eebc5576db5e:Vu9KGTkEYehG8B1KgoF6NTzWyp0SOoFM	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	172.30.218.57
2018-04-26 09:21:03	33e51f043c8c9924779cf310209df64e:fm4HA3oSDifaXZ06t4c5arGWk3p0rh3S	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-26 09:21:58	36ed67dd56afc76845030617b737dda9:h2371i53lKcXLokTlZRlZeTwcAGSANrV	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.30.218.57
2018-04-26 09:23:34	8cb883b19e634ed25d9eda8814db097b:TSEPKUZKEqFzi3cPYqeMoFclg9o3navp	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-26 09:28:32	a99ab6e6ac45314f997b1a75d078cb0f:17i4Zed3lXB7TJ3P6mBpXY6MWpS3DFIA	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-26 09:31:49	2a5fe3a98f83fb34c516411097a883e3:Xl57xmd3p10RzBIwvU6hMHK5j6W2vDJZ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	172.29.144.204
2018-04-26 09:32:11	55958df9d4d4c36ac87a6aba94d2dfb1:04JtKIsVdzDjYOse6R9UHG3HPPfO4djC	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	106.105.178.39
2018-04-26 09:33:25	9106dd1551e519acaa44876ed980c206:A77STqWwugL6psWMd36V2wTiKr80jZAO	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.29.145.14
2018-04-26 09:33:33	a2ecf9c645a8719c089f18a0cb7e71b7:3imuCjTbgiIjGSRMHIXctaOYnM1x0jHI	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.106.68
2018-04-26 09:34:18	552f4fbac5ea441c15825dc49e4c9dc0:I0JbVXqSnrsjjA4nsXDDcV5ZKZvZnUp5	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	172.29.144.207
2018-04-26 09:34:55	ced4909dd45847dbb38cdaa6fae786bb:J6BJFxsf0fszcRkjU2JtjPlM3aFjHCNg	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.106.68
2018-04-26 09:36:53	62c336ed33f36f5db786195a50a714d6:tMsPZ7TrEZy9DnMUQ9eJ9O5fUscnwDZ5	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.106.68
2018-04-26 09:38:32	c5ff572dadb4a1285f366b0047e8f456:ztrmHxzSEGfEJ4DkbGvuBg7OSPXMjMcN	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.106.68
2018-04-26 09:39:01	b02f3c4cd1b9c991c1e8682cc8e767dc:dxRlzkc4FFF4oUlrZDcOcXZrTIR1BkNn	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	211.72.221.96
2018-04-26 09:40:07	7c2dee3873142b226398f92ccde1dd5e:SlcN3Jvrnmou1Itl8oVhunx32uzP0xnp	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.106.68
2018-04-26 09:41:10	6bfa869f09d87b1694b2285f3830f31d:x0n2YgXma2L32nUWzrSd2E2fSrrNYSvQ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	211.72.221.96
2018-04-26 09:41:44	8faec0b7ecbc5867ef068ce106f13967:meUcrVeHBRIBq6FvvW2eaE5aAR7k9nrz	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	114.136.10.117
