2018-04-30 09:49:02	ecc813e8c17d6b94ab931c7396b892d0:j7ucEEp8tXyj1mhRi7jLfDeCSMr3ti2A	Q1:信義之星-中興里區民活動中心	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
2018-04-30 09:50:43	e144927e3c40f06505abb567b9ef41c7:S6jr9hyDvFHh6MV18YNqwpqspoXZaSzU	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	101.10.66.234
2018-04-30 09:50:55	c9687bd676a790caec74db540df1592a:WhOmQwii59A7mnsoyS3uxLJ3FvnRSSd0	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	172.29.121.69
2018-04-30 09:51:21	8729b07743de25cdd244c6c259f97824:R4ug7fXQT8eHe7b1Jdh2r2ZI40MOWExP	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	172.29.120.140
2018-04-30 09:51:34	dc208f76d323656b5aefeff54740a9e2:QzTHMUWA5PNZD67d3lirXPdyupfjLKIk	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
2018-04-30 09:51:42	22df250b97e9fce480b43e9644db1178:U1TeNt3k7LXENHm3r5IHOzQIrYQiGmnw	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-30 09:52:19	41eef28f6465ff1985204dc88450ce1d:B51MU7qpWUHJA02oMgiC1QuuFZRmlmwW	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.82
2018-04-30 09:52:26	766bbde215c82d619c05cad740262f08:IfikTL1IJVZvVxWBYXkBMhq2U5d28wF8	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-30 09:52:38	e071f6f84523b7d1b1415c97b7277fa1:dVco6eWoB88LsdCJVhkkrmxx8NaG6hhq	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
2018-04-30 09:53:04	f34e68da9176b421ea28c55ef14ba5ea:W6HVcfdsSwZiumGUbe3Gd7nkB0avcAR5	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.82
