2018-04-26 12:01:19	02f61146b1ad00204cf92a890a6d9dfb:t8EnDmgJaDIGZjK2htYR7J1qCFqwQla9	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	39.10.40.29
2018-04-26 12:01:41	e5a2e9ec731bc2d5871e41ef0e612ee5:XF9WhRNEQKZAqrzBIVDlAUK1Xw6s586w	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	27.242.130.111
2018-04-26 12:02:27	88805bf7380c07e160bf0f3849f9c827:MBoGU6M4VEW9jvxrmOlUXfERkxBHyAPo	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.64.219
2018-04-26 12:06:43	72a5b845caf2467c94b26620b1aa7f9a:okkpsXxEFvfZ9VAEUSArbwTeFOSVrmvE	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,台北市新亮點最長巷之前世今生	,;	114.136.64.219
2018-04-26 12:10:54	392eb28f7304110049547e273836bb2e:YzdjaKlMs2Ll981xQ43siZQxjB1nK2Ab	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-26 12:12:46	5186f8397cbcc89e340d1c9d3460de18:34uO4naPTE5elBhrNb5lIVM2DSlBHIz1	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,閃亮永春-商圈重生	,;	114.136.64.219
2018-04-26 12:28:01	e6d2ca9b0edb8c0b36e3cab0291f4624:wVWf4vfSghcsmZEF8ZYYppU3wavbSZX8	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.8
2018-04-26 12:31:41	3e2250633b67715d7adfa9e282bfb541:jL1sQj3vxsdYKiwBHrH8TALOgsOOkEbn	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.8
2018-04-26 12:34:29	b47ddf9538f3fe3115254aa6be065d05:V3qN72ORaFwWtCeAAn7h1D2aodBPYIE1	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.184.11.24
2018-04-26 12:35:20	422c095816e2f3c2d4e7334cfd3c335a:NHL4WfnvMAKjUEPQvAPSZ1sHdms0SI0Z	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.8
