2018-04-18 09:14:09	13bab40bfd27c047ac937312b3d83d15:IL05w5HsNMtL8FJEuRvd5jw8fr4HkXjf	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 09:14:26	9c54b812320d4d3b9ea20365beecca83:ThDO07VcFngh8BuGUDcJ7GDx4vOcjoxf	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 09:14:48	996f1582ccefddce194008d434d161a2:Djb5MRzVZu5DEiEeyCD5e0gjt1ZlYU0Y	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.96.253
2018-04-18 09:15:21	7fb98a6e3d923ea294aaff4e54c9931d:514Z0ZrGbTENlIuTB1eKSLy90jDVHpoN	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.13.83.98
2018-04-18 09:16:08	a5c03cb9bf30a35b062d8c1d65f2da7d:F7Nm6tT07DT93wEhXsjYvEfy4MhpzSyk	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.104.37
2018-04-18 09:17:12	8e4c6fbea092734827ea3213199bf1c0:mp1yB3qQN2fH3JwECHPPzgb8O9A8ies8	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 09:18:04	c22afbc0def212cafafa2162d4bcbcd4:BmI2Va1lLLBCbDnWMJl06CEJADoJk5xw	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.82.48.62
2018-04-18 09:18:11	1ec69edb9dab7c464c810a7013244d8f:v5K0QHOUK5Ytk4OEtQ1gnuHRuYOS8K8S	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	42.77.202.124
2018-04-18 09:18:21	054f871d80d1e5b58bbcefb789808dca:yKINQTLS1P2f9h6sd1c8sQ5I7ibYn9nO	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 09:19:34	97b89f72e14c77502f31acf713f956b0:ojwW7941oXGDpbtMA3Gam95n3zzVcOH0	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.140.102.129
2018-04-18 09:19:40	35cda74e5116ae9b6dab9c778cda8a2e:1VJT8eQrFBt9Sg2lgGrZMxqbA9y8M8Nx	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.156.252
2018-04-18 09:19:46	621928ca5adeb96e443e16636bbece27:zptaQINfWZ3NlRKWttJu1yRRs9EOHRQE	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.178.195
2018-04-18 09:19:54	8205649cc37c92674f13faac9c54e664:QxNk43ckQsJyBPC0gOeSv35pPSeQDKsV	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.104.37
2018-04-18 09:20:20	97fecccc500dd544db8c9e6edd388c1b:77deCTNdjNcooy0bvno6tB1YMS21cNla	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	103.31.196.193
2018-04-18 09:20:44	3922354ca8c290b6725dac6987a25ae5:qV8GgCfW050FrsQGi72dooJzfPJQjA5z	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	39.9.43.149
2018-04-18 09:21:05	f6dbe2c6f7f7040ec4a0bc9d5e51c998:x5CFinJM9Vf6YqvU46UMC4j4a8hXzYDV	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.137.101.250
2018-04-18 09:21:12	8757289f81ee860110ca18b2c6685636:7GtTKSAGoXEQY5BYNbesUMRNBl5a6V3Z	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.90.235
2018-04-18 09:22:28	570ba71be3509521134734f4a82a19b8:8NeG95dv3TS2dlcIWWYjSyMIFhLuMJp4	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	49.214.82.12
2018-04-18 09:22:57	53b129fdbd3e796bd2f629f38a30a3b8:R8bg9dWQnbYlyym7qFAD5ATx7NBExZrV	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.82.48.62
2018-04-18 09:23:28	08841a8024dfa147e97e1c94bb7580aa:yCPnaKItninWusaIdXKw5Heo7zzFqTfI	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.15.226.191
2018-04-18 09:24:30	f2c69b525b82ffb8cdb1f67b8e6b632d:n6z7Di3y1RSgtrJ3pCbp8ENNr27IwEi2	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 09:24:31	1a11c01df4c7149a9e5bceec59f34c23:4rMymWH2o8Kt8nbYTEQZdp8NGwev3OyA	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.139.73.13
2018-04-18 09:24:34	54a0b74a79f32f71fbf321fa6f5b04cc:PWNGMgCn3CJOjv8k2ft1FCHtTXIdn0R6	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.137.66.138
2018-04-18 09:24:46	e92b48f7496a959b130c970345521062:eft6fxIfE26422mCZC16Vb0p6t3oOl3t	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.136.254.157
2018-04-18 09:24:48	930ca32821e5f6d7f464c0e9bca1e13f:Roi94Nu4LVUTTYfxgfOp4BIlBVJQZVFr	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.104.37
2018-04-18 09:25:16	c71b656c5317dcc9ee9d1115c92942be:Z1ahjkAXHBgwP0IEDINpwiDqKsP6lrwB	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.137.126.22
2018-04-18 09:25:39	94f3ed50466e7d03c90fc91b448c8d2e:x4gFe3dtVHu9GO48kK2OqX4yVqjG1UOh	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 09:26:17	3a56f1aeabaefe8650806f177530c749:fl5EwaZ17ey5S46uTJnNuMCh72MMTbvB	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.8.129.64
2018-04-18 09:27:05	4d91f05afa7e1f3c3dea1d338017629e:CVW7N4zDioTvv2y917O7I9MbYaWMOuOf	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	27.242.129.218
2018-04-18 09:27:13	bb72e935a1d814f8ab545cbc3b2d0e3d:X5Z5isK4SYHBnRTyTpWWdad1xMXjs4Bi	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.28.115.17
2018-04-18 09:27:15	ce97fb5b193aa0ffe4f60f99d4579978:dWZrBHHjpOPlhpLugWh6QLW4PQsgnugm	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.12.227.112
2018-04-18 09:27:21	3bd9e70f7869ed7fd0fe337a78cbb538:ra5Ee0uTI6CdkIdpDB0PwAfN9pG4K9kC	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	117.19.212.203
2018-04-18 09:27:26	d4f484ac2bdd025d433fc9e0b6593596:BPOroop9T23ooLErT7a7rKAjRvtAeVB3	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.138.84.195
2018-04-18 09:27:58	6e55eb09c7a709bddfd4c5383933cfbc:kwK0ROBfVyEeO1K0L3XZQbh5CsUkqs3a	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 09:28:03	436ad1308f85f73ba4d89b41b549ff95:1Ld3kLarraPEH3CvAJkjlIHTez2BsjF0	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.200.208.210
2018-04-18 09:29:23	9f38751189d7ce1b88aa26ef3fce53e4:nXYShTWaMP6LmGHT0Wx2g0A6OdCZ1oMT	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.169
