2018-04-21 09:02:00	2b0522f4713bf4e9b45b99da2e0ce729:4483UqYe2XtsaDFt2d4ZMIN0F8S36ucy	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	180.217.189.35
2018-04-21 09:03:37	532ed8e034a2da927aaf8bcfae9ca633:F18b1zEsGlwxLHZGveJpdsSCc6ZSeDNu	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	180.217.245.185
2018-04-21 09:03:58	8ddc424f5b771c4b4690a7367f0650c0:3fhcJQdib1sYFg7SXY3opt3wveGn40U4	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.128.192
2018-04-21 09:07:53	f572d0155df6b4df955e5df3c61ac94c:uyKLujbVp4HCnDlQ4NBKFNSHiarKUKiu	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.128.192
2018-04-21 09:09:59	cc97f35bc4e76ce150bb7067d2231d47:IOjUuLwHjh4qcbGswWaeqUNomqVeTcdq	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	123.193.188.105
2018-04-21 09:10:08	1ebbb5c0a4815dbbb54e1494d6f96d51:E8Lhfmo7HQTjx7oUcBcPty40EhPpkhKk	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.200.219.150
2018-04-21 09:12:28	90e34920659888c5f2389c35e28dafff:AoZKHS9V0A5uvC2he3FDUKzRXsGVhYrN	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.128.192
2018-04-21 09:14:10	f5aba8365ca80b4548f7d7255f241338:RJziVnslYj18tB3VLzdN6FSiSzpwUOrY	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.200.219.150
2018-04-21 09:15:39	ef4e3541f712ed6ea6fe55f48300b996:hzHZ3xNoAZlfyY9UnnzzCUBP78WQxvyw	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.128.192
2018-04-21 09:17:24	792be24572384f5ddc14a033a7f9a78a:xb7dGuqh89fmGLfXOgdGKTxfFeC7OKIL	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.200.219.150
2018-04-21 09:17:28	2f8e46900e9a7a61dd186b048cf6133f:9Vo9VWYBnsfJfcaJizY0N3ZTvPdUkggy	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,樂活後山埤一號計畫	,;	180.204.10.66
2018-04-21 09:20:23	3cca5a1d3a14e2977f8f0100d14c345f:iXGcdUd2rNxRsWcsxjOUpl2OSI9lpNuR	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.128.192
2018-04-21 09:20:36	4f7a935ed74ce82c58f7f38d5c5598af:6mt8bIT0ijsNBvntBcCeOkmjFW5aFUgh	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.136.160.142
2018-04-21 09:23:26	85e69be368dba76d930b4eed24e7409d:EDGc9vz72UP3galdzBuiVyOim1shi6k9	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.128.192
2018-04-21 09:24:17	cf8eaa27eaf3f190439945a7c2241061:9QQJaAtupask8AsIsMZkpNh6vwOQUWAj	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	101.12.192.49
