2018-04-27 02:21:56	8ddee4360d92accd488da78dc2682709:H9ketqkQwTYP9YTfAoepZyW71ByqWXfK	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.12.192.140
2018-04-27 10:38:10	251586324769ac42e985c8e17d1650cb:tRcDZZnh1uFNICZULAc2d0KjIVDsAzZU	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.137.11.243
2018-04-27 10:38:13	1cc04fc7eab07a74de84ab1c4329c789:RW3RVssWTF0G6QfsXGtZVd8766pOl9Wd	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.12.49.8
2018-04-27 10:38:21	2f800a0dbe50897db458a17f4ca727e6:18Lnw05kzoBIMm6Ky2tjS9jxyv7MCHQM	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	101.14.225.244
2018-04-27 10:38:22	9efb8670b54d455028d1ac33f00dfc21:xIEBUvULG6G0KpelFsSbkrUYn4tqxnwV	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.225.27
2018-04-27 10:38:27	5ff490320af4d7f3f93f9b713bff50c7:e382rk4BHvGPAh9jXCEHG5FJkmquku34	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	223.137.235.203
2018-04-27 10:38:59	35126687e8e289ce2fcb08466bbb7c80:Dr5COlJ6l5ko5y1hAPQaJgeX4vwZ8bpI	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	101.13.245.62
2018-04-27 10:39:07	314e127d06e45dc839c8197aa46d5a66:aSeUWvY9fPc1Mpps6GKKxe4X6EM7mW75	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.60.232
2018-04-27 10:39:25	42a8d773dfbd7147025e3d2f18ba521d:DeNLwjjWilwFOdOfMgv1Zhml5IOdvKD5	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	223.140.115.163
2018-04-27 10:39:43	5400bebc4cc133027defe77e9f2a35c8:LQBOAmQZmw1e35GKHAeobprhVWXyqasy	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	110.26.66.242
2018-04-27 10:39:54	b709287dd5acc7578a81d06a345140aa:pfYNzZabG3dwdW6anwNHJY2yHvC9ssWS	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.217.130.58
2018-04-27 10:43:00	29b7d35877699b5225645b90229b58f0:57VBZPd5UWXQs1swYe32s4lTS3vPDVUA	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.3.159
