2018-04-19 10:05:23	7b9c88bb9660ebd428b33c6a906d30bd:9c50UTSVu5pjwZHFXd3QFfKG2stgxR34	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.19.168
2018-04-19 10:09:17	f7e651b69ab30f56d0c6dbce53576f9c:9rtH2Vpfu07PJDpMIJA6abzdfFk7dsqO	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.85.94
2018-04-19 10:10:30	15b876ad1ff7aaa72c735ace2908a85b:rps7jITpymUYwXcEvBIcHsXGkz8BGYw7	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	59.124.57.2
2018-04-19 10:13:00	d32cd4ca0fc78d4d259bb3d808b9d0b5:2HHQShEs0rrGydYPRNsY3Wr4R1sslazH	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-19 10:15:22	77ec91f22bf65bbf3078dbc9bd4a9fe9:2WQAYAr2SogLrVdoec4PwFQpBFTwPAh9	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.137.145.233
2018-04-19 10:20:31	e2c97db41e4ed4a77cda694173e7ed33:6nRvtAlkWN6Ib7lj0Lw0EBCCmXAbZw7y	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.137.123
2018-04-19 10:21:24	781af3e2c09141d444633115a1d18b4a:n8AyyanMM09WejhPwptzaN724st3sdjl	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,;	10.21.10.213
2018-04-19 10:26:07	5cb308168e84f29d818c5d39c63d6cb3:KQEmaDD5PL2TG7YKlLksDbOVVHwYRUTH	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-19 10:31:02	fbda1d9d0952c17f0380af067465acda:9aTetP5rYMQKeP6JOGFbiOsKCVK0ZKIq	Q1:信義後花園-松隆映像	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	172.18.26.173
2018-04-19 10:31:42	4ce9716489d989218e9cfd6e6caebd3c:YLP2ofbUJatozMmmT0G6rqpdIINF9wRx	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	1.169.254.196
2018-04-19 10:33:34	68af354a024a30d46df523ff9003951a:zcZXu9Oss4TVeuZ3u2xeM8kkp0C1I9IY	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-19 10:34:26	e978184b5dd522c852b24d1e8f8ae8a3:sBDkjL1F78dvjq62UwxHkzWOs3Ak0RCV	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	61.231.15.173
2018-04-19 10:44:25	112bc3cdbdd8725acd8305694047d16f:BFdw0iI59ufcSxNAMk1XdQzN8b1BjHyD	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-19 10:46:11	692fc3554a05457e6021c8f5f698086d:W4rngpdeOFXOHXoYIkKbEkKVCEpWA9bK	Q1:公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	110.50.137.164
2018-04-19 10:46:22	c877dd1a6e2d0bce103522fdf366a2c2:fnEiJkXappk97DTHMNjOXnFoDdys7cu6	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.85.94
2018-04-19 10:47:31	eb2cd5caf703fd314a23c750278d04ae:I1B2KUq61kRCJBzeVFjjSfxzXgUplwLa	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	223.139.226.84
