2018-04-30 09:37:23	5f82c37a56c424107ca89f8378bd6765:XIYdg7pRiu9A79GknpUAr5YXagmrzKAT	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:37:59	5d2cade69e75fba3d08afd0098462723:ntvClUrhG779whAVS0MSKHOdyB8kMNyJ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:38:09	c564e84ea3d32bd804c3fa044d3d147b:ydhcMD7MqwAepIzcxfkBDJbd9gGAqXmd	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-30 09:39:09	d1f89e7db0d1aeff4af728341a6ca1dd:G1xA30c2NSLNqLV08C1cfeREENUGg1DI	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-30 09:39:15	2c973c7e787dcef429523e0b182ff012:xqpfkHNYSRoFP0PP4zX5qw0b4cclFCEc	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.213
2018-04-30 09:40:06	07b75df067ad13d1ac6d2a89a92d3cf3:u3LWnMsv5xwxIluI8e8REMMuIK5Af4lz	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-30 09:41:20	6a2e8bb6de568c4a381fa54f594e2d31:voe4uV1kL3HjRZSZDhxMQX7U4NOz3kdZ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-30 09:41:29	1d15874e55d115e0e3134c5c07c9fd76:dFmObywZEL5M1y1OcT19VCvJEZ4lNIT8	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	103.31.196.193
2018-04-30 09:44:01	1d657fe15c201d0acced2a4aa2589fc7:uHI1xWqQQceD7ZVPJlXtEBH5rdCnLwVK	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-30 09:45:11	af2b3e4cb4a7059799e8860fc3992716:GPJ5hgJtdhhAF1BNQD0fXmRVijPqZjAC	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-30 09:45:40	6ba66eaec079af8dd102a14ae224da20:KXM5PNif6QW6L9ZUyA117PIX4enH5TZN	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	117.56.49.126
2018-04-30 09:45:52	f884671c85d5805b85d99375cdb0185e:YrVrE6Zk9LaOsgCmnt1edRNpu2mhGiFu	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,;	223.140.134.147
2018-04-30 09:46:04	6da9ab48da929c18f8a3899db8834463:tV1a8nCpgAedfkuBOhFY1k6QgJ9Ef44t	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-30 09:46:59	36d0dafdf9bd7f701ed0fe6d152b004d:d1Aqprv6lbdkbbn2cm4mcS349zjQ1ZXd	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-30 09:47:57	391ec73c4a3ebe27d3879132f62313d1:RtIIf86tSE1rVZaXAW3D9GtSJqiZnGpk	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-30 09:48:18	d1f4366f895abf2514ae14b3fba18904:ejTCoQQuC9ZqZ92bmtALd9u8NOrJ8Bcj	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,;	223.140.134.147
2018-04-30 09:48:56	4a68f0f75e387bf8c46db9cb2e836082:gfM3ckyZbtzaDsJfxYgSaibxDHm5bQfs	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-30 09:49:59	6f7211a7b5fa57d0dd63b55d4f40c627:TObM1AfhucYptMfMAhqyPU0Eoyi4KVk4	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-30 09:50:52	c388ada2b1fce1555d560f87fd9eb93d:TvAyZvN5hPIVVQPBIfv8CETRGFBORE9g	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
