2018-04-22 00:51:34	3feab32cdf7e07db8c93ead52038b38a:fSRmQVgE8lV9qFV5QBRdBy06i1j6dqVy	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:51:54	875b8857d8b5a83516e3aad8e3975d01:g3ht8cpkUd5somvx8UNSXuqZk4suHnrP	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-22 00:52:09	71edb3d11f91d4dd85cf58c6077cf97f:sZxkKzH2nNcyjwUZyy1KjECJIaDHro6D	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:52:49	7d11e5f25aafc83e03c787b7ddb86c09:m59hGHomtBK4LsNclLvxFoEGzrJzka4P	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	58.115.133.176
2018-04-22 00:53:32	a7b4869ffc298bbb8d5ada1a40eb6206:AXyCSTDvevCua1tj5LaFy9MHXIJbbEVi	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:54:12	7b80d76e65feabbafe9153e873770dad:wKKXl46WOBLnwBf6fTLrH1xRlosgcVWb	Q1:人化交通，樂活中正	,住好住滿	,;	58.115.133.176
2018-04-22 00:54:49	1df450a993a17a29ff3fb586453f8e81:GIPZrXKd3ITjkjzEawSrsJ8GKFlbKF9n	Q1:人化交通，樂活中正	,住好住滿	,;	58.115.133.176
2018-04-22 00:55:40	2df9a4e9a4e17f7483e18a98dc2ba96e:lKvZttcKJN384nAJr0mEG6foyoZCYCYK	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:56:16	3b72a723fded38eac0178358e6a4c6a2:YhQ6nifWldxgZcBYVRFGY8TiV7kQLvqe	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-22 00:56:19	d53933a20d0c66639c56ce6f996f7c69:mjFWPXX35JeKuNGKvCUI7vm9WsD1v05e	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	58.115.133.176
2018-04-22 00:58:13	7a5a590ec3c1bab24b655f8824ce9906:rFHvO8ToGQQ6jcnRBsYHDq5fm9T0V6aA	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:58:50	37a1e49eda12817b31fbeb376826f8dc:xT7Cgb1CgC2yH7dKXCdg6ylgwxG68aHj	Q1:百年觀光新店溪河道再造	,住好住滿	,;	58.115.133.176
2018-04-22 00:59:52	319f342734fb180296b5c74051ff318f:ywmIZj3NwvDFUtJzj8dpxK0dmedjqQKQ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 01:00:27	62c1daf3a3a483d8752da3ba19a84fee:P17mKegAr6gLPb5sfFHi4aoFFcybh57N	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	58.115.133.176
2018-04-22 01:01:32	23f4b7aa675c05507023696674c96213:HfPRNjkwjvfup9eDtsYKzvSj2jC9KVbA	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
