2018-04-23 09:31:18	627e55ea483de60ed4c55ebdcb812bba:LPcGVmqYAAps4invc9DDj8chWCHhGURJ	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-23 09:31:49	420ad6f2aa1531b4b67c89e58f5e58ef:sKPSX3T9IQFi1QLH1mYdff9OL4yE57oh	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-23 09:35:14	235d83715cfed60d030e2c191140be1e:gVovlhjrwcIfcNnXzbLE0ryvdLbQST7o	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-23 09:39:28	57ded73897af321b8940147bfecd7785:ZyUKQGf3dh0Axnhv378NiZWOqOmBB66T	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.52.104
2018-04-23 09:46:43	2a328f5b482ab0883ce203e3759ef8ef:YcjRIMvzfF0RVyZcQ8nWoqrO7tAGumrZ	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-23 09:49:22	bbdd56b881884e9e08e88a3674f2308c:V4FZzLKoEQFr5GrBKkGj6ca4AABKKglq	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.144.102
2018-04-23 09:52:38	b48b4f4154aa7b8140150085b9d45bc7:rMaGCIynFv5UCQsbimBhU0L9zPDDFsgN	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-23 09:56:21	03cab33dd2ca71cefc50cb7ce7505521:qR4sDfmwfmVosrQLF3sXiqSPDZU5qjJz	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-23 10:02:27	2e11cae88f21cff74eee27610681c977:CtPJ77DOVA5JiCQwz9IMjfO9uwEI1wT3	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.52.104
2018-04-23 10:10:40	fa99754fc262f78097a6cf51e1a7c97b:iYZKgnNDq0LAJpc7vYjHPOPXNvJroB0R	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.209
