2018-04-26 09:03:46	1890abce1f0b8528a2a11f29fb7f61ec:MLMyXDCtIjT0L6xje615jkUihjVaoe7O	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 09:04:42	40aa0a4314d3d6669e7387e429d5a913:M5aDwNr8zUSCxXN8JvjBNLyxOVJyddJb	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.144
2018-04-26 09:04:51	5112fabb9994e7fbf0a5a83e0aa77ff1:WjWL8XD55KDoAjHtdiZEtyyO2LzrBFoq	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.141
2018-04-26 09:04:58	5f1e3d729a15e08a9309b9850ebf3c8a:Ouyj51XLphDmNxTCFdyGKzxVtmTR48ls	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	103.31.196.193
2018-04-26 09:05:03	e4c8d745bfe1827d18ae68fa132d021f:aXnyEBNlF0wMw8AEtrNL57yJT0WsI4vi	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.143
2018-04-26 09:05:14	1de9ad3df543cdf1e735f215a04d21b1:CfoI68eImXduqXuXqHvCXBTnaGct4sEV	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 09:05:21	420ef9791b920222bf64e72a275d0738:XBQus23V6MIIv2qygJCE4ie453K5nlQO	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.10.98.4
2018-04-26 09:05:22	2280ad8272e63974056d0eb102ffddd9:yi7FyCfDS1arfyhG6yrqHQq85yBQo0ir	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.144
2018-04-26 09:06:00	3f043658ab10a4d5954ba6e4794cf883:KyvG90HmfIlrincCyqEkOKQ4wDgyXWcC	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.141
2018-04-26 09:06:02	46dc3ffab1e164da0a10499d1ed27c96:J8XEtbA0dxIRN0B1pAzPGJfgeot8RoMs	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.144
