2018-04-21 12:22:50	79a6e1edd360ecb6650c46adcd49c95a:noFhTAZ9YZB599Xhn3Guh1ZMWyoZdLcN	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:24:09	90049653ed9ee51754dafc734255c4a3:ghfJiRQ2Lake9ojRNaQrdALUvn5pGrdy	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:29:27	657a0059024dda3c5d513dcebd9fb505:1Wbq26uku9CjDZ9izy1dZkw1LDGFu8uB	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	118.160.163.144
2018-04-21 12:30:20	a717cb83c6a08474e7216baa73f8d2c0:L3dy4v4UyoICgdzEzI2GmtuKrIT5srJc	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:34:27	93c8c65fca216beda2d28a28c79ea950:IY32h4uTRWx13mF8WXRAHqCHH1uao0SP	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:34:52	39cfe7db3e22d3fb402c318051178c0e:79Z46HSNHTS6MozcLepHV14gbVwE2aLY	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.160.163.144
2018-04-21 12:36:28	4682820e24bc320ac622a11c525c09d6:I9HKMtsAlV6Rpk1D79GlAAYpGWfqUPlb	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:38:30	1234fd38671506081fec15f494848220:8Q4uhmXoStazNKf8vsli3VtkIlKnNzf3	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:39:54	0e23b451e9f18d02ba6b0400a9e329ae:aRbiO55w7w0KRruyirykSTKnMFAO9mxK	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:41:17	9f786429338ab9054a1e2772db941b15:32CDIolTnEAmDDWNRD0TfgF7O9Be6IKy	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:43:00	436ad7b32f429cea4832d4f0bc8ed9d7:FV7jVyqaCyhRazWipHspMZOd7mLrcJds	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
