2018-04-28 13:33:10	2be10ea89591a6990a50371c466f4081:WTlQSAXpATDcU3BiN7Yua47VOqXexaOY	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:34:02	8975daad12aca292c6402da90b5af8a0:9md3zpNKAOkU75t05TQNVE6FFFv0NLh1	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:34:43	fd1bbaf7ea1979437aeb243229d637d8:uaXQKsyO7Kww1GQ8d0NwBX3sq7w5TeWL	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:35:20	ccffc067ed95e6238d08dd79e0349d9a:CfPvD0yWUyW8oDNd16A6cWkcLI1KWpLa	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:36:06	acfdbce271abfd18b2053d897f26f568:LU5g2vkH9MO61q5v2AlVL2ho9BvRdssr	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:37:00	6b948d3545e1364c8e07c9d3fd5244d0:I7az9Ydx5IUSddo1nooA6YEp22klbXuY	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:37:36	cb236120134a5d5bb77a1c677153a13a:8i2VzQuVVPVpJWSYEW1fReg9MS9kEvMm	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:38:21	a63518c96dfccf2af78de5351c1e3ace:CFP51XuAB6MmW6FpYElKAckZP7w2PVxf	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:39:10	9ff4105ecac83f1600d117dce410060b:NB6lqSKxIt87IwnVCrtSYuYSJpp8Ib3M	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:39:47	50599ff2e669d04a3b632aa90759cf83:2smXAuX4bBaAYKJh9n4Fcouppqqe7aF1	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:43:19	52e73a1a0da25d0bc7d2c8638c31bad5:uNm3Sig7PzPJTWkWcVx9qHn2UU1F9Qsk	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:45:26	aea2e67f68540abe4a9d2c19568b5734:UogTL4ZOPpgZJZx0D5DPuPTRbUcd7tS6	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:46:12	fd00b5fe4d0e7c0318d622d3cb281d67:PwCxfCwh90ep9M6Xed6cCdb5c5AQUXpC	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:46:40	ca1a3b13acbf35494584bab1848c560e:wxDfHCMFZ4FqxLm73B3ZWg70pA8LrnOq	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.136.76.227
2018-04-28 13:47:00	29e62e88155588948e5173cec2542af7:owyQpGNFXrbFbUnkoiFCbbek8Ci7zQZj	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:47:45	4b54e22c26d6943c1a833eb34e293fde:7HrnDQxqmDD77DUOIICE7hD5FZEerLwW	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:48:19	b20b9b5fabd81ffa76a7b2087968eaf9:FLVEnV50iGX4QYzr48FVuZaSd1lUVfAb	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:48:26	67ce7c3273dd2e25b6f945802d7d078c:lwzLObGJt818CReoVN8AadmWF2rVhCHn	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.136.76.227
2018-04-28 13:49:09	1803c2ed77953a0b9ca03d090a0ac5ed:e1YBBqqpyFqU0AarIX5Bi6rCqnB6cxyF	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:49:51	eda0f4f291bfa5fbe3e881e4e56992f2:WzAc6DPSMNeHjRJb9CpAptq9WMzt5x4o	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:50:33	036bd8b561bd7e3869c24c34f763ab47:1KFpdkYzfkzZaiS2oH1TNnIMugcEEI2f	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:51:17	1e7927b5f3e50993e1511fe313fa26e5:APJwzBwSXiMfhtMGzTSvMNlzERtgYVxH	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:51:58	4df2a4b1daa3bcb247eba6ec1c6e9d14:FKq8yUJ1iN7u3oiI1QtW5NiHHhYpqe1m	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
