2018-04-27 09:45:11	893438b9e490503c5e63c29b934a8619:s8TW6UQ2vAgR9J4f8kdiRKwC4Knyd9xd	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	10.254.248.207
2018-04-27 09:46:07	d81121f310dd43d5c6594dd645fc22fa:yAHKORUqGInPey1EhMYw4Qz7itMY6aHR	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-27 09:47:21	dda4b0983a11db6b31b5fef13028ddda:a4XSAqYwDH0p1VwlVsNnbhyEhq5c8nOE	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-27 09:48:30	009f50817b87d4ed2c8079be2a1089af:SGYcQYxICv2uCywiaOCzxIK0y11pSuWk	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-27 09:50:18	b1752bf5bf6e55cc41aa4aa9657ef921:PN4bC2ePOV56kuC9rHKtf30WLZB6kkrK	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	10.254.248.207
2018-04-27 09:50:32	d99cd9fae64a1c72af1a2252c4a4fa05:AsOUOMKLIUoiP8HUJEhQDIFFmq5naGAh	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	10.254.248.164
2018-04-27 09:50:40	c17e33d496be2a34b5fbd8d9fd769424:n17aFylWhg6v0500Oo0GyVUgREodrC0o	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-27 09:50:45	40ffb379337f8b5e2395489313f907d1:37YVbDUVtERViulaJiSJEGHo2JKgnEJA	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-27 09:53:26	9a7840355124db6dbeba8e78a7fdb4f2:y8FLgYJvMLj1fSa9SsAXlWJrcqELr4tJ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-27 09:54:34	29e2bf8c493bbcf9f9937bf4f82c2584:YOz7Ce5o6BXUkgsL2y2OdiDiV1QfzUAu	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	10.254.248.207
2018-04-27 10:00:53	188387a1791565a5c01e1354d7befec8:HJbnZNYB4ZhYf4I116Qf1VdREthkV1DJ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.207
2018-04-27 10:04:39	2288200d57020973cf3edd2bfa0bc2f6:B8ni18xeavSPS9AAIPP17Xp0x4BvdHws	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.164
2018-04-27 10:05:33	97f638b69ca09c8476a6c069146ec6e9:EhSTXg9U9RaqgTNTtTiXa9nYiLRTIjlg	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	10.254.248.207
2018-04-27 10:08:14	20ed6ffe8c38ceaa83e880f94c7e1313:x3PRWk0vZStutHEQ97Ja5qjUzOCaV4X7	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.164
2018-04-27 10:08:56	2ff600fa50473892fbd128504a0d9cd6:SDVkZ53NT5g9OwLiguDQfiRHTQShDRAS	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	10.254.248.207
2018-04-27 10:15:06	b5e81b402d9b343ceb7e6ca6d58c303a:dqQkqiDNNyYp4UmvA3jl6rf215ewjVlp	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.164
2018-04-27 10:16:50	cbdca7fdd61a321ac81dc95162527c4c:3u4O4HxlJDkAN7ndk4vm5nv3T6melaV1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	10.254.248.207
2018-04-27 10:20:43	2beb0c0793d2e68a04433e1190f159cc:aTTdtJPgk7AVEH4zyvxXg4IHiXhf27v9	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	10.254.248.207
2018-04-27 10:23:37	2230579a66a9a779f00ffb2c2d0f0523:eQfhWpU224YAOxrZdqKSvg5tmrvNVFyo	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.164
2018-04-27 10:26:05	9d4746c7be975d808d51441127eb4a6c:MMBGbLH5iEEFelUpiPwj76oU9PnVFDzn	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.167.48.94
2018-04-27 10:27:46	73b478ab5b019a0c04c8f89d9b8e3030:rOEvtninbmhik6EEme7mc83iiqLqGeuD	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.207
2018-04-27 10:27:57	0d338b1573d38c3ee4aba93be0f496bb:xwxCoEhoGwnptw66saNJ6pACF3749mmg	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.164
2018-04-27 10:31:38	bc137192457e0383b8d6f876b741541e:ImWSOPZN1WSjPSpYKN2V9YbJpX3B8d07	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	10.254.248.207
2018-04-27 10:34:17	3b7f9ad8261150b0bbbcab6ee03fdc4e:BkpD9vSv6R2CK9Q2MMQQrkbPOdpnKF4c	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	10.254.248.207
2018-04-27 10:34:18	1d5633891895242aea47c2e19a6ac126:GbcdpPHiA5cRbMriAahDG3BolSBlcfgx	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	111.71.62.33
2018-04-27 10:36:10	c1d50bca758339005863a0b2259d33de:Q67ZYtaGMB50HETESNSea4c3T97yJBUP	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	10.254.248.207
2018-04-27 10:37:20	470cb3ef9d0a7881ab6a7355256c4f1d:sHh13LZ10yXxyobZMlyVo19zkSjCG44U	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.164
2018-04-27 10:37:40	571b794cf0b073e575b85c7c34203424:NincsQFC2XQRjqiE8oiQN14mhr4KJKEw	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	49.214.243.101
2018-04-27 10:37:55	5eb0459d4efd000041d093419f83b5ce:vcWT9kgBFegrxh3mUIUFpsCPh58moSHG	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	10.254.248.207
2018-04-27 10:42:30	8fb685a54902844bc39d7ea4c77ad039:kDfUhqjnYlIeIijWzJiBzpKdmaVXbMGr	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	101.12.228.106
2018-04-27 10:43:56	db069e9aed2cd33c8a11308120eb3f21:imHPyZoyXLY5Oyvqx0Oz0rVYTFZTp6WF	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.29.147.132
2018-04-27 10:44:48	d706a23595fe060dcb23ceaa2e3956bf:YmWmpjYa0ETY529ackzCNcWMaaYnF1xf	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	10.254.248.164
