2018-04-27 10:52:51	33157c9c2a5f2f70ed3fe0e5b101eb5a:7RNkMStvDiegnl8g5wFEvi39JSX7qP82	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:53:22	63ebbabbcc1f25f2fdaa5d6eea41ad0b:vJE4BMNRxFqx9tn2nglZLIvKP61RdnkG	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:53:29	725c37edfa71913bd0a242bae9ea945b:7TLEBksx9wZJiDC0xL9I5axB68Rv05B3	Q1:唭哩岸打石文化,;	111.71.106.143
2018-04-27 10:53:47	27e7ee564ecf08781c1543e606671493:XmJa1qC1HV1UIOvOByamNjBorodhhfzr	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:53:53	fd095d0c86630abc81b7f199eff3adf0:PN8DaNb9ll24heFORGD8Dyfws1wzWdSv	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:54:27	8b1d267ebe1a00817f2187e34535677b:jlMnP8ImVossyRardG4Z1WBzI8jB05B2	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:54:39	2fea8aebff2d4b857f20807fb8774a77:4VJ0EhuMs3NeaTpAOZkKr9kqywbdL7KH	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:55:05	d4dd1e40772e1a67dbc8653628a2c843:wuV1yznIDKnUv8PelpI07KoNo3SekPRq	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:55:13	08d5c9a1550e3f4720b8ed7d60fd90a8:AcigsBbAjxLK0UQ8EXbW0eIoZPjVLifX	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:55:45	09ecf22ab51b8c5554543e0d48c1b017:x89S87JhQBjzVHHmGJMfvqzs82jxgX9f	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:55:52	14651b3791efb5c41a4d53a3ae5e757c:m3U6Xcptx8bIWoX2fMJloFqrQUSzzntl	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:56:30	e55760347cd0413bc03cc2b5da338b9c:dmFJcr8qi9PA2Gn5brpvRUx0IzxTa5SI	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.17
2018-04-27 10:56:30	f9c0e5ccb1affad7d41ef1fe99be70ed:6WDpP6byNjoG9fqaLnH3BJK0EjC5ETBv	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:56:50	5cf751e5c287526309db4e867731df40:VwlL3P7CQDPdu0kJ8eRBX6IzmWoyzNBn	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:57:50	32ed087e3e5a71adac2f5b7e1270d1fe:GvqWuviQloS81UoaWWApHDj7iGOjtwEW	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:58:31	bac345684274bdb3029e612f969902ff:6FljfrNSASszzkGccCHCcEHScME659ei	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:59:08	227eaa33e2ef3e30f09e30457cb4e1f9:SfBEGpq5Xr7qWopDwzeMc3AaKuwFDqJY	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:59:55	bf670135633ceff6bd43d7e65e270267:PzaJ2bAHkVFfoqzXePAAbbCaWksWvkav	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:59:55	1e008a39faf594c59077231ce13b1c3a:uoYwLspheUK8sLV8EZR9wG19CXnrQlXh	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 11:00:02	e24494eab70d38fdbd9244d98383b486:yTTbKvrm3PfRaismQVQpQG12TsKpOdyl	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.164
2018-04-27 11:00:36	2101c734abaf81c4100a3d6f6a4a6685:Ty1jgqM1tnVYAFb0eUOEhqZRgpcUpers	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
