2018-04-20 03:35:07	453311b64fc6cfed7ae5d2d528f26544:20Wrmng2ByFVIqip6jwkqnoaQRc3ESDL	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:35:16	5b257c46fe9351309e369fb9c1e18eff:uBKeAlF1jmaUdneNaFLgkwOEKot02qX9	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:36:23	e67301cefd2aa94267b9dc029f7a2f22:d6fxVAxt93pOxPkMdTVUVJPAt1eKRo6F	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:36:35	a685da494cfbe8c252deb628a7d52bd4:vNcFWWEGW9RMLBj5SnhW0K0vzbvCOIGx	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:36:47	146f13e3f3059c8b5534f11e2af90fd1:HNkAu9PzJayG1WItxrMnwX5ghh35eeCf	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:36:56	532c9603fc7ede704ced30841edd20cf:i0ld7yuKdk0efPPjrg1qDZCVWwuHt3E7	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:37:06	bad690651170fd58b2b07ee71251c1ae:7zxMcpcqWxz7NfVlhdr1G4pJtP82Amcn	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:37:14	2bf6597eb732a0fa1c3c8f28f3c6f957:s37O7cRzN2D78DQV9BDGObjWPoPxdvTj	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:37:35	ce4fb7a6d36ed88999b71a0bf5a60fb2:rJ0Ege2WuibZHwz32ZIT3Zw8RvUKTD17	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:37:53	b2a2da3fb229376b104821b71fa78b26:95D6neUcvainVvZ4NYvMsvm3DTLVPXpU	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:59:21	807f5c14490c423a8de0b66d31d13d14:MWbSxcCU07AgFHuanU1vNoTXarTg5hoA	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:59:32	c3ea5c0224949c7f90571755bb5f5985:bJSbILzqLft7iOHInWQ6NOhl4Okts9IZ	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:59:41	e22dbacaa91a24a297a569570ee8705f:xBEGL8zhtL2NVdxSYwZPGmXFs1o5LaHi	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:59:49	53cd53d01a13d145e7cec8dc351e9026:deQZQNgSqQr3HPDi9rNCl4vg6nRWSguv	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
