2018-04-27 00:33:03	d3cf711cc7465b1a2b5017c55413be71:UVRl2re8CU3qvei0mGXm61X1BY1za6Ff	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.43.149.128
2018-04-27 00:33:23	d73b9d53cb16af8b9aecb29ca160e477:DykHm9ztanqHQoasg0X5TH4lCo3v7nEv	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:33:33	ef833f42e0b76a8eaed841f191c30f05:e8yRXsQnD5RXUYxvNXq2s8H9LZmsdAP2	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.137.87.104
2018-04-27 00:34:03	32a26fd7d09c7066c2bce5e957066c41:pF7vpsj6JAn8bNJOldGvYAGlHstUK2FN	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:34:05	49a748c335c95d931c8843b35b8d40e1:3SfAuQOXmM25bAjCzddGLB78d5iSyg8R	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	223.140.138.72
2018-04-27 00:34:13	b4903135ccc9384333dbc2513ba40853:ezbd4DGvTB6qwf3wbwi3CIaLSb5Glop8	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:34:18	b95bdbb252247263c255104d14950701:TjQCVd3TZc6owXZBeaAWFHa2QuXSqMGc	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.137.87.104
2018-04-27 00:34:47	fc186407e631b5645293fc48f8dd5deb:9ydegXHaTb0AV3Fghzav045bjftXPQSn	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:35:04	73bcc705cb169bc8753c3d7d7eb51492:dMOJrd7oWHpP9RqyUziFwxSZKxt1yzAg	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.137.87.104
2018-04-27 00:35:12	32151c3bd157dd74dca4d9ce2cc4ac4c:stld8C5Mwh9YZW8yVvzGIkd0Q2TW1im9	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:35:25	59648afcb6bf627d756d9b9a0f923dfe:haS6dPrsD9Fu71Mb5PHm1JpN1cxf2msr	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:35:36	f53b77e0165d0fb35d3dc0d8cb560180:GF4CNN01qhuGzHERrwH4NSZMyIzJp0R4	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	36.224.128.82
2018-04-27 00:35:46	33799f84acdc7fdef8976fae8c9abebc:8gmBgRsDIDRCWQUFkriPXROnmKXBr9Ie	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.137.87.104
2018-04-27 00:36:03	9c45b0daec3d406c38e06b5e60822cf0:5ZYk2JHKvRy6znwvtVQqDeDgekpSTJPG	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:36:20	4f0799e23654140b6021dc0472a7183f:gsxQXWz6qlhS5IKBO60BzcjnwoEEEJIo	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:36:44	28c8e4ae1686b678b791408ddd1d7d07:MDd54O7Jkcb0MOajGD0UtECIcSnEnGW5	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:36:49	f9f71940434d41b44e673df135d2f16e:h9oqlszBo3ZyA9T8SXNCCsQMjnE9zhHv	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.137.87.104
2018-04-27 00:37:09	2d12e8d895e3b9a35916e35488108f5c:FQ7iHSXr1aqYXytL3PmHGkjPiBzKJ98O	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:37:22	4d7647e7790a3c22b1c510f363f1300c:2OmvCZ6WW5U7uzrYPvH7YEp7WoddUnLM	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.137.87.104
2018-04-27 00:37:24	b4939e07632f53746f5621e54458f670:eqF1DfJiM7X1CW4zbcKJhz4RAf2RGJES	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:38:00	b57cc3e3c60859842bf1d256c8c72d5a:SXM8tx0075utIWlMllrvIhHFRnKOyH5i	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:38:12	99087792134429520f88abde84968b98:QnopCCcIFoEfeHqxGV6jHJTvWL7lprzB	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:38:21	f264ab6da79229c872cbd400eddb8fb7:4gt77UTfiqdgRdJR3ZncGBEcbykHiOJv	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.137.87.104
2018-04-27 00:38:52	a8dcf9bf62e73937af7887738a40f669:9MBZea2F7BNhjARUKAOCEE8QQPPqkJwF	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:38:56	f2fce806b693eb6895974bfbf1b6bc4d:lTJ6fUByHyn6V1BjqtYVXauYbjjekzFk	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:39:02	2da155fd73f521e46172b819ccf3e739:h4NPTnIxshhgJ4QkwSMtPdiKthmtaMQr	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.137.87.104
