2018-04-21 05:18:23	3c141a58b16a342a83606bbe288dafdf:czAk26YkvwYKPdMEAZiGoPIuhOIdX0VV	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:18:39	610e05f0f64cef4d93ad520190001c95:TtfOLUvmDG3KUQ0efiy3bG25ZoqSx4pU	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:19:12	d012a94fb9b0d562f880bd8fa4b1f5f3:C4zVzPk71tuW2vOzGJEBqVKCMP7MEO5U	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:19:21	b40f07adf34bdf94016a8ca20410097a:HVR0Piu4ywlD0KkMsoo9fuwMgc0TT7nL	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:19:33	23c14d8cc18f3a9714377af6111dd76c:XBtI2QCaFqQloFhWKbmN5NMQqiDiEl89	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:19:43	ae43c011fd6563d0e48fba3a96aa786f:VjXBUKUkJXfkNs26fAuxHUUkiMw3vEKP	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:19:52	031e87790b5305ca77a44b04db3af335:MwqwvIsCpuzjQvwnV1U4cLlxKc4oygHH	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:24:04	9acb0e4a7bdab6cf425642967d1be024:A93XVPe65cRYlRvsPf50KB7FFW3Hxdel	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:24:16	49d3da2eaaa9fb3a902c79507239da13:HUOk4gCCiFbrMVM49KnFhliNNvHg8nST	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:24:42	63f44fdf74d879cbee5dbcd0f54203e8:yC1t6PUBZyiOPwqvnovgM7DzaxumjqsU	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:24:52	3bb093c57137480cb124458bc8f1e851:h0iLqOxj8Yg7Cpm1v6NNmjMO8U0HFFL4	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:25:09	6e4baf88c14ef28e0b4437580b119f7a:KHVqHetiehwC4xZsbkuAffLeJDaG7U1j	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:25:29	071edfdf14483b94e62b41c66d0b6a2d:gfLASOrTEvzlCNjGuQ5bs4VSnmrwRQmN	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:25:41	67d21bc8c9f7203653c06316874a50ce:yFZBohndLyDDWi7gHI73AR9VSwQ1PUrK	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:25:53	33e2f87b46c89a214b6458cc3a860810:0JzxH0eaLBuetLtq4toIsgF0YFLunCfU	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:26:03	06ba35727be02f2476159dd731a6194e:wPfb1Y6i5UaqJSCGFSMb7xALT1xm3feq	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:26:18	8bdd96ffd2fae8161530fee2657167d1:sykdauc46hhTHFu1kfDbjPTjHnYUPybJ	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:26:32	d592bd5ddfe45c016455f39cad94d0b6:VWXnu4KtGXPZ9DElveHQqx2rSFqz9yEp	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:27:02	34439b559d509220013f6a4116e6cddb:5KdajevdhhvRW6XVtzM8RE6umrPCOx4g	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:27:15	b336b6de5358882e5eb3597d527a0fd1:cfZ0Bgv8Y67slXZtbKsCilFM2ceqqJcf	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:27:30	1623290c9bd451ffc58a0d8adc568585:qtFKUV9xaerR1ZNJ6kHVLKeQn0T3YYTV	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:27:46	81db8c5ea7f419972138695ecd69ce82:6u7JgaO59scX395tKTdr086ikl10UlVQ	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:28:32	7959a477b050bc0b06f75edd7897932c:Sl1yCqyDGbiAhdVgJxPFKxVBd0mtpG3Q	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:28:42	ba862b13fd2d7286ff4598755e1e8b96:dWv0PZHozDY9sf8036Ms6by3PTYPNRqi	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:28:53	eeec99c0e04cc2730dc38fed13ccbe92:PCvBx2GVrH5BgdD0Oc2Dj37Bb3aYNsxA	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:29:03	b7e6f9e0ed7c53e7510f79aa682cce3f:8yxT3TLSw4Lw4XYUquqEvd3s9TfuEOAG	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:29:25	3adebf79733f1de1c4e1beb0e957504c:NeHGl3L1cDo5OKPzelpW48HwHOJO411m	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:29:36	9f8740585569d9e4e851cc3072785264:rVcwuEQxHOviJpaNZNRRWELiCQ9Ui4Nh	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:29:50	7bb35bd351084311b6e24ab163216644:si41J11INImuuZDlrNEBXLueYxlnPfWs	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:30:00	fd0402fcc4b1a562c151494f452a098b:EdZXbrv687yelS5882b927zN5CNUx15X	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
